taglen,crossmapped,rRNA,rmsk_DNA,LTR,precursor,rmsk_Simple_repeat,Coding_Exon,Unknown,unannotated,srpRNA,tRNA,LINE,No_CDS,rmsk_Other,rmsk_RNA,Satellite,p3_UTR,rmsk_Unknown,snoRNA,snRNA,rmsk_Low_complexity,p5_UTR,star,scRNA,mature,Intron,stemloop,SINE
26,0,0,0,0,0,0,0.00302899296998268,0.0320285588570156,0.000259353520685621,0,0,0,0,0,0,0,0.00142484341611236,0,0,0,0,0.000614763900884434,0,0,0.000409842600589623,0.00374621752101452,0,0
27,0,0,0,0,0,0,0.00354770001135392,0.0529689542308916,8.64511735618735e-05,0,0,0,0,0,0,0,0.00103421218742538,0,0,0,0,0.000819685201179245,0,0,7.04416969763414e-05,0.00599074613830612,0,0
28,0,0,0,0,0,0,0.00323391427027749,0.0484446761478202,3.84227438052771e-05,0,0,0,0,0,0,0,0.00135119982381891,0,0,0,0,0.000310583845759323,0,0,2.56151625368514e-05,0.00954164804497715,0,0
29,0,0,0,0,0,0,0.00337159576891307,0.0595264358403256,1.60094765855321e-05,0,0,0,0,0,0,0,0.00287210009944446,0,0,0,0,0.00039383312400409,0,0,5.44322203908093e-05,0.00678161428163141,0,0
30,0,0,0,0,0,0,0.00380705353203954,0.0767846515995292,3.52208484881707e-05,0,0,0,0,0,0,0,0.00143765099738079,0,0,0,0,0.00070761886508052,0,0,2.88170578539578e-05,0.00525751211068875,0,0
31,0,0,0,0,0,0,0.00407601273867648,0.0664905581550321,4.16246391223835e-05,0,0,0,0,0,0,0,0.00284328304159051,0,0,0,0,0.000397035019321197,0,0,0.000169700451806641,0.0086195021936505,0,0
32,0,0,0,0,0,0,0.00406960894804227,0.113862599371622,1.60094765855321e-05,0,0,0,0,0,0,0,0.00461072925663325,0,0,0,0,0.0101051816207879,0,0,8.96530688789799e-05,0.0131053575329166,1.28075812684257e-05,0
33,0,0,0,0,0,0,0.00438979847975291,0.374631357787403,2.2413267219745e-05,0,0,0,0,0,0,0,0.0164929627784152,0,0,0,0,0.00413044495906729,0,0,1.60094765855321e-05,0.030866270856906,3.20189531710643e-06,0
34,0,0,0,0,0,0,0.00475481454590304,0.29980946801726,0,0,0,0,0,0,0,0,0.0124041424584703,0,0,0,0,0.0156860851585044,0,0,2.56151625368514e-05,0.0364791933477935,0,0
35,0,0,0,0,0,0,0.0046843728489267,0.283851221756802,0,0,0,0,0,0,0,0,0.0346092864826034,0,0,0,0,0.0123465083427624,0,0,6.40379063421285e-05,0.0193170344481031,3.52208484881707e-05,0
36,0,0,0,0,0,0,0.00599394803362323,0.107375559459164,0,0,0,0,0,0,0,0,0.0185517814673146,0,0,0,0,0.000874117421570054,0,0,9.92587548302992e-05,0.0113539207944594,6.40379063421285e-06,0
