taglen,crossmapped,LTR,Intron,rmsk_Other,snoRNA,tRNA,unannotated,rRNA,rmsk_Low_complexity,scRNA,LINE,mature,p5_UTR,Satellite,rmsk_RNA,p3_UTR,snRNA,SINE,stemloop,srpRNA,star,precursor,Coding_Exon,No_CDS,Unknown,rmsk_DNA,rmsk_Unknown,rmsk_Simple_repeat
32,0,0,0.0281723948986926,0,0,0,5.87128757874803e-05,0,0,0,0,0.000136996710170787,0.0108227401034922,0,0,0.11400572656034,0,0,0,0,0,4.89273964895669e-06,0.0293270814558464,0,0.565669201774479,0,0,0
33,0,0,0.0426304405613597,0,0,0,3.91419171916536e-05,0,0,0,0,0.000127211230872874,0.00836658479971595,0,0,0.22744878806105,0,0,0,0,0,4.89273964895669e-06,0.0460651437949273,0,0.469590473287917,0,0,0
34,0,0,0.0534042532683623,0,0,0,1.95709585958268e-05,0,0,0,0,9.29620533301772e-05,0.0133425010227049,0,0,0.177900013636065,0,0,4.89273964895669e-06,0,0,0,0.0407565212758093,0,0.413103794040712,0,0,0
35,0,0,0.0438487327339499,0,0,0,4.89273964895669e-06,0,0,0,0,0.000313135337533228,0.0125694481581697,0,0,0.0275559097029241,0,0,5.38201361385236e-05,0,0,0,0.0338088309742908,0,0.323136097375696,0,0,0
36,0,0,0.0278347958629146,0,0,0,1.46782189468701e-05,0,0,0,0,0.000543094101034193,0.0144922948402097,0,0,0.0220075429410072,0,0,1.95709585958268e-05,0,0,4.89273964895669e-06,0.0477286752755725,0,0.239866561290102,0,0,0
37,0,0,0.026885604371017,0,0,0,0,0,0,0,0,5.87128757874803e-05,0.00896839177653762,0,0,0.00936959642775207,0,0,2.93564378937402e-05,0,0,0,0.0483206967730963,0,0.367704062838042,0,0,0
38,0,0,0.0314652086824405,0,0,0,2.93564378937402e-05,0,0,0,0,7.82838343833071e-05,0.0104753555884163,0,0,0.00854761616672734,0,0,9.78547929791339e-06,0,0,0,0.0387211415818433,0,0.177953833772204,0,0,0
39,0,0,0.0401351433403918,0,0,0,1.95709585958268e-05,0,0,0,0,3.91419171916536e-05,0.00598382059067404,0,0,0.00713850714782782,0,0,4.89273964895669e-06,0,0,0,0.037170143113124,0,0.131859333539383,0,0,0
40,0,0,0.0475036092517205,0,0,0,1.46782189468701e-05,0,0,0,0,3.42491775426969e-05,0.00204027243361494,0,0,0.00625781401101561,0,0,1.46782189468701e-05,0,0,0,0.0327519992101161,0,0.104049001374713,0,0,0
41,0,0,0.082364379250537,0,0,0,4.89273964895669e-06,0,0,0,0,4.40346568406102e-05,0.0017516007943265,0,0,0.00627249222996248,0,0,9.78547929791339e-06,0,0,0,0.0291215863905902,0,0.0842774404532791,0,0,0
42,0,0,0.0504001111239029,0,0,0,2.93564378937402e-05,0,0,0,0,5.87128757874803e-05,0.00166353148064528,0,0,0.00695258304116746,0,0,1.95709585958268e-05,0,0,0,0.0307655469126397,0,0.0986474168022649,0,0,0
43,0,0,0.0411528331873748,0,0,0,2.44636982447835e-05,0,0,0,0,5.38201361385236e-05,0.00140910901889953,0,0,0.0063948107211864,0,0,1.46782189468701e-05,0,0,0,0.0305894082852773,0,0.130548079313463,0,0,0
44,0,0,0.0332412731750118,0,0,0,0,0,0,0,0,0.000151674929117658,0.00151674929117658,0,0,0.00610613908189795,0,0,0,0,0,0,0.029146050088835,0,0.151621108981519,0,0,0
45,0,0,0.0862247508335638,0,0,0,9.78547929791339e-06,0,0,0,0,0.00355702172479152,0.00145803641538909,0,0,0.00646330907627179,0,0,0,0,0,1.46782189468701e-05,0.0335739794711408,0,0.0995476808976729,0,0,0
46,0,0,0.365482759037416,0,0,0,1.95709585958268e-05,0,0,0,0,0.000225066023852008,0.00235830051079713,0,0,0.00762288837307453,0,0,0,0,0,1.46782189468701e-05,0.0445337162848038,0,0.353725505660973,0,0,0
47,0,0,2.35382854675798,0,0,0,4.89273964895669e-06,0,0,0,0,0.000273993420341575,0.00410011582582571,0,0,0.015143029213521,0,0,0,0,0,9.78547929791339e-06,0.0868901634258219,0,5.39859021578303,0,0,0
48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,0,0,32.2807354198683,0,0,0,0.000151674929117658,0,0,0,0,0.0077843487814901,0.0470192280264738,0,0,0.166744567236444,0,0,4.89273964895669e-05,0,0,5.38201361385236e-05,0.580097890999253,0,34.7230834123552,0,0,0
