taglen,crossmapped,No_CDS,rmsk_RNA,scRNA,precursor,snoRNA,rmsk_Other,srpRNA,rmsk_Unknown,Satellite,rmsk_Low_complexity,SINE,rmsk_DNA,mature,Unknown,p5_UTR,rmsk_Simple_repeat,Coding_Exon,snRNA,star,LINE,rRNA,Intron,p3_UTR,tRNA,LTR,stemloop,unannotated
38,0,0,0,0,0,0,0,0,0,0,0,0,0,6.22800662177234e-05,0.0605362243636271,0.000350325372474694,0,0.0069636899039692,0,0,0,0,0.0158736318772423,0.00162317422579942,0,0,7.78500827721543e-06,3.89250413860771e-06
39,0,0,0,0,0,0,0,0,0,0,0,0,0,1.94625206930386e-05,0.0704192923715521,0.000334755355920263,0,0.00732180028472111,0,0,0,0,0.0208015421167196,0.00270139787219375,0,0,7.78500827721543e-06,0
40,0,0,0,0,0,0,0,0,0,0,0,0,0,1.94625206930386e-05,0.0758493356449099,0.000385357909722164,0,0.00725952021850338,0,0,0,0,0.0199179436772557,0.00205524218518487,0,0,3.89250413860771e-06,0
41,0,0,0,0,0,0,0,0,0,0,0,0,0,3.50325372474694e-05,0.0860944065377254,0.000182947694514562,0,0.00740354287163187,0,0,0,0,0.0456785360665615,0.00190732702791778,0,0,3.89250413860771e-06,3.89250413860771e-06
42,0,0,0,0,0,0,0,0,0,0,0,0,0,7.78500827721543e-06,0.128316398929203,0.000210195223484816,0,0.00683912977153375,0,0,0,0,0.0298321517182895,0.00178276689548233,0,0,3.89250413860771e-06,3.89250413860771e-06
43,0,0,0,0,0,0,0,0,0,0,0,0,0,1.94625206930386e-05,0.125611108552871,0.000155700165544309,0,0.00743857540887934,0,0,0,0,0.0217707756472329,0.00200853213552158,0,0,7.78500827721543e-06,0
44,0,0,0,0,0,0,0,0,0,0,0,0,0,7.00650744949388e-05,0.260692679674974,0.00018684019865317,0,0.00728676774747364,0,0,0,0,0.0124832607725149,0.0020669196976007,0,0,0,0
45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0013623764485127,0.33205395804807,0.000276367793841148,0,0.00906564213881736,0,0,0,0,0.0379480228472866,0.00211362974726399,0,0,3.89250413860771e-06,0
46,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000564413100098118,0.326398149534673,0.000432067959385456,0,0.0127362735415244,0,0,0,0,0.127148647687621,0.00298944317845072,0,0,3.89250413860771e-06,0
47,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000171270182098739,5.6327298563592,0.0011093636795032,0,0.0316577361592965,0,0,0,0,3.92687884265576,0.00678852721773185,0,0,3.89250413860771e-06,3.89250413860771e-06
48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,0,0,0,0,1.55700165544309e-05,0,0,0,0,0,0,0,0,0.00185672447411588,56.6682313235803,0.0171153406974581,0,0.250291908616615,0,0,0,0,24.231850313909,0.076433211265701,0,0,1.55700165544309e-05,0.000101205107603801
