taglen,crossmapped,unannotated,precursor,rRNA,rmsk_DNA,p3_UTR,Satellite,rmsk_RNA,snoRNA,Coding_Exon,Unknown,rmsk_Other,tRNA,rmsk_Low_complexity,rmsk_Simple_repeat,p5_UTR,stemloop,No_CDS,LINE,Intron,srpRNA,LTR,scRNA,SINE,star,mature,snRNA,rmsk_Unknown
23,4.04280293349015e-06,0.0214834547885667,0,0,0,0.00275314879770679,0,0,0,0.0117483853247224,0.0477293314327847,0,0,0,0,0.000574078016555601,0,0,0,0.0166401768742455,0,0,0,0,0,0.650644661312971,0,0
24,0,0.00443091201510521,0,0,0,0.00242972456302758,0,0,0,0.0117605137335228,0.0412972319656019,0,0,0,0,0.000832817404298971,8.0856058669803e-06,0,0,0.00844541532806093,0,0,0,0,0,0.0687761635045344,0,0
25,0,0.000339595446413173,4.04280293349015e-06,0,0,0.00251462342463087,0,0,0,0.0121769224356723,0.0492696393504445,0,0,0,0,0.000735790133895207,0,0,0,0.00825540359018689,0,0,0,0,0,0.0047219938263165,0,0
26,4.04280293349015e-06,0.000396194687482035,0,0,0,0.00536884229567492,0,0,0,0.0125407746996864,0.0981552124222074,0,0,0,0,0.000994529521638577,0,0,0,0.0087850107744741,0,0,0,0,0,0.000404280293349015,0,0
27,0,5.65992410688621e-05,0,0,0,0.00304423060891808,0,0,0,0.0134948761919901,0.136755894831171,0,0,0,0,0.00112794201844375,0,0,0,0.0140366117850778,0,0,0,0,0,0.000230439767208939,0,0
28,0,4.44708322683917e-05,4.04280293349015e-06,0,0,0.00535671388687445,0,0,0,0.013337206877584,0.137410828906397,0,0,0,0,0.000780260966163599,0,0,0,0.0180955859303019,0,0,0,0,0,0.000101070073337254,0,0
29,0,2.82996205344311e-05,0,0,0,0.0171253132262643,0,0,0,0.0140244833762773,0.139007736065125,0,0,0,0,0.000909630660035284,0,0,0,0.0154313787971319,0,0,0,0,0,7.68132557363129e-05,0,0
30,0,0.000101070073337254,0,0,0,0.00479072147618583,0,0,0,0.0149219856275121,0.134249357012407,0,0,0,0,0.000824731798431991,0,0,0,0.0120394671359337,0,0,0,0,0,4.04280293349015e-05,0,0
31,0,6.87276498693326e-05,0,0,0,0.0119222258508625,0,0,0,0.0145419621517641,0.0982845821160791,0,0,0,0,0.000853031418966422,0,0,0,0.0181238855508363,0,0,0,0,0,9.29844674702735e-05,0,0
32,0,4.04280293349015e-05,1.21284088004705e-05,0,0,0.0107174705766824,0,0,0,0.0139193705000066,0.26604877544712,0,0,0,0,0.0026682499361035,0,0,0,0.0155243632646022,0,0,0,0,0,6.87276498693326e-05,0,0
33,0,5.2556438135372e-05,0,0,0,0.0406018698610416,0,0,0,0.016619962859578,0.861488962703283,0,0,0,0,0.00191224578754084,0,0,0,0.0520510877686857,0,0,0,0,0,1.21284088004705e-05,0,0
34,0,8.0856058669803e-06,4.04280293349015e-06,0,0,0.02689676791651,0,0,0,0.0178934457836274,0.580797155031062,0,0,0,0,0.00477455026445187,0,0,0,0.0591259929022935,0,0,0,0,0,3.23424234679212e-05,0,0
35,0,2.02140146674508e-05,0,0,0,0.0243457592654777,0,0,0,0.0153100947091272,0.14745719419612,0,0,0,0,0.00289464690037895,1.21284088004705e-05,0,0,0.0284492042429702,0,0,0,0,0,4.44708322683917e-05,0,0
36,0,1.21284088004705e-05,4.04280293349015e-06,0,0,0.0191386290871424,0,0,0,0.0178287609366916,0.217304700478029,0,0,0,0,0.0010268719451065,1.21284088004705e-05,0,0,0.0105557584593428,0,0,0,0,0,8.0856058669803e-06,0,0
37,0,4.04280293349015e-06,8.0856058669803e-06,0,0,0.00316955749985628,0,0,0,0.0189364889404679,0.0931542651934801,0,0,0,0,0.000946015886436695,8.0856058669803e-06,0,0,0.0140446973909448,0,0,0,0,0,2.42568176009409e-05,0,0
38,0,8.0856058669803e-06,0,0,0,0.00277336281237424,0,0,0,0.0177519476809553,0.0757823409882729,0,0,0,0,0.00080047498083105,1.21284088004705e-05,0,0,0.0147077170720372,0,0,0,0,0,1.61712117339606e-05,0,0
