miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
cfa-mir-192	22246	12991.836739	N
cfa-mir-193a	423	247.035285	N
cfa-mir-193b	760	443.845901	N
cfa-mir-194	13431	7843.808291	N
cfa-mir-195	2068	1207.728058	N
cfa-mir-196a-1	0	0.000000	N
cfa-mir-196a-2	0	0.000000	N
cfa-mir-196b	6	3.504047	N
cfa-mir-197	250	146.001941	N
cfa-mir-199-1	24992	14595.522062	N
cfa-mir-199-2	25041	14624.138443	N
cfa-mir-199-3	18682	10910.433065	N
cfa-mir-19a	45	26.280349	N
cfa-mir-19b-1	245	143.081902	N
cfa-mir-19b-2	253	147.753965	N
cfa-mir-200a	3755	2192.949157	N
cfa-mir-200b	3690	2154.988653	N
cfa-mir-200c	419	244.699254	N
cfa-mir-202	1	0.584008	N
cfa-mir-203	308	179.874392	N
cfa-mir-204	402	234.771122	N
cfa-mir-205	0	0.000000	N
cfa-mir-206	2	1.168016	N
cfa-mir-207	0	0.000000	N
cfa-mir-208a	0	0.000000	N
cfa-mir-208b	2	1.168016	N
cfa-mir-20a	2338	1365.410154	N
cfa-mir-20b	21	12.264163	N
cfa-mir-21	193226	112845.484394	N
cfa-mir-210	39	22.776303	N
cfa-mir-211	15	8.760116	N
cfa-mir-2114	0	0.000000	N
cfa-mir-212	10	5.840078	N
cfa-mir-214	1932	1128.303002	N
cfa-mir-215	55	32.120427	N
cfa-mir-216a	0	0.000000	N
cfa-mir-216b	0	0.000000	N
cfa-mir-217	0	0.000000	N
cfa-mir-218-1	275	160.602135	N
cfa-mir-218-2	257	150.089996	N
cfa-mir-219-1	18	10.512140	N
cfa-mir-219-2	7	4.088054	N
cfa-mir-22	12164	7103.870453	N
cfa-mir-221	9145	5340.751011	N
cfa-mir-222	6069	3544.343126	N
cfa-mir-223	196	114.465522	N
cfa-mir-224	195	113.881514	N
cfa-mir-2387	21	12.264163	N
cfa-mir-23a	7530	4397.578470	N
cfa-mir-23b	2369	1383.514395	N
cfa-mir-24-1	4536	2649.059222	N
cfa-mir-24-2	4887	2854.045947	N
cfa-mir-2483	27	15.768210	N
cfa-mir-25	3847	2246.677872	N
cfa-mir-26a-1	40156	23451.415810	N
cfa-mir-26a-2	40047	23387.758964	N
cfa-mir-26b	36422	21270.730816	N
cfa-mir-27a	6344	3704.945261	N
cfa-mir-27b	26885	15701.048761	N
cfa-mir-28	2850	1664.422130	N
cfa-mir-299	7	4.088054	N
cfa-mir-29a	17399	10161.151103	N
cfa-mir-29b-1	2679	1564.556802	N
cfa-mir-29b-2	2805	1638.141781	N
cfa-mir-29c-1	480	280.323727	N
cfa-mir-29c-2	477	278.571704	N
cfa-mir-300	3	1.752023	N
cfa-mir-301a	9	5.256070	N
cfa-mir-301b	2	1.168016	N
cfa-mir-302a	1	0.584008	N
cfa-mir-302b	0	0.000000	N
cfa-mir-302c	0	0.000000	N
cfa-mir-302d	0	0.000000	N
cfa-mir-30a	21244	12406.660959	N
cfa-mir-30b	6047	3531.494955	N
cfa-mir-30c-1	7322	4276.104855	N
cfa-mir-30c-2	7691	4491.603720	N
cfa-mir-30d	24195	14130.067873	N
cfa-mir-30e	6327	3695.017129	N
cfa-mir-31	817	477.134344	N
cfa-mir-32	360	210.242795	N
cfa-mir-320	1791	1045.957907	N
cfa-mir-323	7	4.088054	N
cfa-mir-324	56	32.704435	N
cfa-mir-325	0	0.000000	N
cfa-mir-326	38	22.192295	N
cfa-mir-328	57	33.288443	N
cfa-mir-329a	0	0.000000	N
cfa-mir-329b	3	1.752023	N
