taglen,crossmapped,rmsk_Unknown,Unknown,SINE,snRNA,srpRNA,LTR,star,p3_UTR,rmsk_Low_complexity,rmsk_RNA,tRNA,stemloop,rmsk_Other,Satellite,p5_UTR,precursor,rRNA,rmsk_DNA,Intron,LINE,No_CDS,rmsk_Simple_repeat,Coding_Exon,unannotated,snoRNA,mature,scRNA
22,3.22237244206464e-05,0,0.0799373931702976,0,0,0,0,0,0.00303547484042489,0,0,0,9.66711732619393e-06,0,0,0.000505912473404149,0,0,0,0.211564862683754,0,0,0,0.00451454379133257,0.232523173046943,0,8.52615580376989,0
23,2.57789795365171e-05,0,0.0556858181713191,0,0,0,0,0,0.0036090571351124,0,0,0,2.57789795365171e-05,0,0,0.000393129437931887,0,0,0,0.0403183239951128,0,0,0,0.00478844544890806,0.0454451185504377,0,1.36745563663188,0
24,3.22237244206464e-06,0,0.0258820954546632,0,0,0,0,0,0.00258434269853584,0,0,0,1.28894897682586e-05,0,0,0.00036090571351124,3.22237244206464e-06,0,0,0.00391518251710854,0,0,0,0.00496889830566368,0.0288305662391524,0,0.216675545376869,0
25,0,0,0.0261237733878181,0,0,0,0,0,0.00221054749525635,0,0,0,3.22237244206464e-06,0,0,0.000496245356077955,0,0,0,0.00404407741479113,0,0,0,0.00455643463307941,0.000863595814473324,0,0.00865529237938563,0
26,0,0,0.0315985841668859,0,0,0,0,0,0.00300969586088838,0,0,0,3.22237244206464e-06,0,0,0.00183352991953478,0,0,0,0.00540069621290034,0,0,0,0.00481744680088664,0.00115683170670121,0,0.00110849612007024,0
27,0,0,0.294518396459824,0,0,0,0,0,0.00316114736566542,0,0,0,0,0,0,0.000895819538893971,3.22237244206464e-06,0,0,0.0222730383195508,0,0,0,0.00512034981044072,0.000125672525240521,0,0.000280346402459624,0
28,0,0,0.153372038752509,0,0,0,0,0,0.014903472544549,0,0,0,3.22237244206464e-06,0,0,0.0005832494120137,0,0,0,0.0560950594714613,0,0,0,0.00490767322926445,7.73369386095514e-05,0,9.34488008198747e-05,0
29,0,0,0.13491106703192,0,0,0,0,0,0.028611444913092,0,0,0,0,0,0,0.00072181142702248,0,0,0,0.032700635542072,0,0,0,0.00500112203008433,4.83355866309697e-05,0,4.5113214188905e-05,0
30,0,0,0.100405902922292,0,0,0,0,0,0.0186833154190908,0,0,0,6.44474488412929e-06,0,0,0.000612250763992282,0,0,0,0.0214803346988029,0,0,0,0.00511068269311453,3.54460968627111e-05,0,5.80027039571636e-05,0
31,0,0,0.13619034889142,0,0,0,0,0,0.0703540575275974,0,0,0,0,0,0,0.000341571478858852,0,0,0,0.0314277984274565,0,0,0,0.00471755325518264,0.000377017575721563,0,7.08921937254222e-05,0
32,0,0,0.11516759107939,0,0,0,0,0,0.00439531601097617,0,0,0,0,0,0,0.000731478544348674,0,0,0,0.0171784674886466,0,0,0,0.00427608823061978,1.61118622103232e-05,0,2.25566070944525e-05,0
33,0,0,0.0691553349791493,0,0,0,0,0,0.0114587564039819,0,0,0,9.66711732619393e-06,0,0,0.000725033799464545,0,0,0,0.0578480300799445,0,0,0,0.00457254649528973,2.25566070944525e-05,0,6.44474488412929e-05,0
