miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
cfa-mir-17	85	17.512767	N
cfa-mir-181a-1	838	172.655277	N
cfa-mir-181a-2	837	172.449245	N
cfa-mir-181b-1	149	30.698850	N
cfa-mir-181b-2	141	29.050590	N
cfa-mir-181c	65	13.392116	N
cfa-mir-181d	34	7.005107	N
cfa-mir-182	213	43.884933	N
cfa-mir-183	22	4.532716	N
cfa-mir-1835	9	1.854293	N
cfa-mir-1836	31	6.387009	N
cfa-mir-1837-1	1	0.206033	N
cfa-mir-1837-2	1	0.206033	N
cfa-mir-1837-3	0	0.000000	N
cfa-mir-1838	3	0.618098	N
cfa-mir-1839	29	5.974944	N
cfa-mir-184	0	0.000000	N
cfa-mir-1840	0	0.000000	N
cfa-mir-1841	0	0.000000	N
cfa-mir-1842	0	0.000000	N
cfa-mir-1843	10	2.060326	N
cfa-mir-1844	3	0.618098	N
cfa-mir-185	49	10.095595	N
cfa-mir-186	885	182.338807	N
cfa-mir-187	0	0.000000	N
cfa-mir-188	0	0.000000	N
cfa-mir-18a	4	0.824130	N
cfa-mir-18b	0	0.000000	N
cfa-mir-190a	0	0.000000	N
cfa-mir-190b	4	0.824130	N
cfa-mir-191	1561	321.616812	N
cfa-mir-192	30123	6206.318524	N
cfa-mir-193a	48	9.889562	N
cfa-mir-193b	180	37.085859	N
cfa-mir-194	3594	740.480987	N
cfa-mir-195	211	43.472868	N
cfa-mir-196a-1	0	0.000000	N
cfa-mir-196a-2	0	0.000000	N
cfa-mir-196b	0	0.000000	N
cfa-mir-197	43	8.859400	N
cfa-mir-199-1	2020	416.185752	N
cfa-mir-199-2	1919	395.376465	N
cfa-mir-199-3	1411	290.711929	N
cfa-mir-19a	3	0.618098	N
cfa-mir-19b-1	31	6.387009	N
cfa-mir-19b-2	29	5.974944	N
cfa-mir-200a	263	54.186561	N
cfa-mir-200b	78	16.070539	N
cfa-mir-200c	4	0.824130	N
cfa-mir-202	0	0.000000	N
cfa-mir-203	75	15.452441	N
cfa-mir-204	46	9.477497	N
cfa-mir-205	0	0.000000	N
cfa-mir-206	0	0.000000	N
cfa-mir-207	0	0.000000	N
cfa-mir-208a	0	0.000000	N
cfa-mir-208b	0	0.000000	N
cfa-mir-20a	295	60.779602	N
cfa-mir-20b	2	0.412065	N
cfa-mir-21	27597	5685.880301	N
cfa-mir-210	2	0.412065	N
cfa-mir-211	0	0.000000	N
cfa-mir-2114	0	0.000000	N
cfa-mir-212	1	0.206033	N
cfa-mir-214	102	21.015320	N
cfa-mir-215	39	8.035269	N
cfa-mir-216a	0	0.000000	N
cfa-mir-216b	0	0.000000	N
cfa-mir-217	0	0.000000	N
cfa-mir-218-1	47	9.683530	N
cfa-mir-218-2	53	10.919725	N
cfa-mir-219-1	1	0.206033	N
cfa-mir-219-2	6	1.236195	N
cfa-mir-22	2139	440.703626	N
