miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
cfa-mir-147	1	0.672324	N
cfa-mir-148a	247797	166599.882478	N
cfa-mir-148b	710	477.350075	N
cfa-mir-149	14	9.412537	N
cfa-mir-150	99	66.560081	N
cfa-mir-151	2988	2008.904260	N
cfa-mir-152	241	162.030096	N
cfa-mir-153	0	0.000000	N
cfa-mir-155	163	109.588820	N
cfa-mir-15a	46	30.926906	N
cfa-mir-15b	129	86.729802	N
cfa-mir-16-1	327	219.849964	N
cfa-mir-16-2	355	238.675038	N
cfa-mir-17	146	98.159311	N
cfa-mir-181a-1	1373	923.100920	N
cfa-mir-181a-2	1399	940.581345	N
cfa-mir-181b-1	151	101.520931	N
cfa-mir-181b-2	158	106.227200	N
cfa-mir-181c	10	6.723240	N
cfa-mir-181d	14	9.412537	N
cfa-mir-182	6	4.033944	N
cfa-mir-183	5	3.361620	N
cfa-mir-1835	3	2.016972	N
cfa-mir-1836	82	55.130572	N
cfa-mir-1837-1	4	2.689296	N
cfa-mir-1837-2	9	6.050916	N
cfa-mir-1837-3	0	0.000000	N
cfa-mir-1838	8	5.378592	N
cfa-mir-1839	30	20.169721	N
cfa-mir-184	0	0.000000	N
cfa-mir-1840	0	0.000000	N
cfa-mir-1841	1	0.672324	N
cfa-mir-1842	1	0.672324	N
cfa-mir-1843	19	12.774157	N
cfa-mir-1844	2	1.344648	N
cfa-mir-185	294	197.663271	N
cfa-mir-186	1739	1169.171522	N
cfa-mir-187	1	0.672324	N
cfa-mir-188	3	2.016972	N
cfa-mir-18a	21	14.118805	Y
cfa-mir-18b	1	0.672324	Y
cfa-mir-190a	0	0.000000	N
cfa-mir-190b	2	1.344648	N
cfa-mir-191	7408	4980.576558	N
cfa-mir-192	27957	18796.163450	N
cfa-mir-193a	141	94.797691	N
cfa-mir-193b	258	173.459605	N
cfa-mir-194	7912	5319.427879	N
cfa-mir-195	233	156.651504	N
cfa-mir-196a-1	0	0.000000	N
cfa-mir-196a-2	0	0.000000	N
cfa-mir-196b	0	0.000000	N
cfa-mir-197	72	48.407332	N
cfa-mir-199-1	3221	2165.555763	N
cfa-mir-199-2	3143	2113.114487	N
cfa-mir-199-3	2290	1539.622073	N
cfa-mir-19a	6	4.033944	N
cfa-mir-19b-1	39	26.220638	N
cfa-mir-19b-2	45	30.254582	N
cfa-mir-200a	187	125.724597	N
cfa-mir-200b	328	220.522288	N
cfa-mir-200c	10	6.723240	N
cfa-mir-202	0	0.000000	N
cfa-mir-203	126	84.712830	N
cfa-mir-204	179	120.346005	N
cfa-mir-205	0	0.000000	N
cfa-mir-206	0	0.000000	N
cfa-mir-207	0	0.000000	N
cfa-mir-208a	0	0.000000	N
cfa-mir-208b	0	0.000000	N
cfa-mir-20a	614	412.806966	N
cfa-mir-20b	5	3.361620	N
cfa-mir-21	27382	18409.577122	N
cfa-mir-210	0	0.000000	N
cfa-mir-211	0	0.000000	N
cfa-mir-2114	0	0.000000	N
cfa-mir-212	3	2.016972	N
cfa-mir-214	188	126.396921	N
cfa-mir-215	34	22.859018	N
cfa-mir-216a	0	0.000000	N
cfa-mir-216b	0	0.000000	N
cfa-mir-217	0	0.000000	N
cfa-mir-218-1	48	32.271554	N
