Gene	6SB
cfa-mir-202.MIMAT0009844	0.000000
cfa-mir-203.MIMAT0009866	70.569514
cfa-mir-204.MIMAT0006598	74.097989
cfa-mir-205.MIMAT0009845	0.000000
cfa-mir-206.MIMAT0006606	0.000000
cfa-mir-207.MIMAT0009935	0.000000
cfa-mir-208a.MIMAT0009868	0.000000
cfa-mir-208b.MIMAT0009869	0.000000
cfa-mir-20a.MIMAT0006651	28.227805
cfa-mir-20b.MIMAT0009830	0.000000
cfa-mir-21.MIMAT0006741	3697.842514
cfa-mir-210.MIMAT0009846	0.000000
cfa-mir-211.MIMAT0009867	0.000000
cfa-mir-2114.MIMAT0034427	0.000000
cfa-mir-212.MIMAT0006731	5.292714
cfa-mir-214.MIMAT0009847	59.984087
cfa-mir-215.MIMAT0009848	1.764238
cfa-mir-216a.MIMAT0009849	0.000000
cfa-mir-216b.MIMAT0006592	0.000000
cfa-mir-217.MIMAT0009850	0.000000
cfa-mir-218.MIMAT0006672	19.406616
cfa-mir-219-2.MIMAT0006729	0.000000
cfa-mir-219.MIMAT0006611	0.000000
cfa-mir-22.MIMAT0006733	1480.195548
cfa-mir-221.MIMAT0006757	97.033081
cfa-mir-222.MIMAT0009851	887.411634
cfa-mir-223.MIMAT0009852	3.528476
cfa-mir-224.MIMAT0006744	15.878141
cfa-mir-2387.MIMAT0034370	0.000000
cfa-mir-23a.MIMAT0006640	28.227805
cfa-mir-23b.MIMAT0006612	56.455611
cfa-mir-24.MIMAT0006614	135.846314
cfa-mir-2483.MIMAT0034421	1.764238
cfa-mir-25.MIMAT0006697	449.880649
cfa-mir-26a.MIMAT0006595	3539.061108
cfa-mir-26b.MIMAT0006678	1444.910791
cfa-mir-27a.MIMAT0006641	59.984087
cfa-mir-27b.MIMAT0006613	1081.477796
cfa-mir-28.MIMAT0006675	1026.786423
cfa-mir-299.MIMAT0009885	0.000000
cfa-mir-29a.MIMAT0006626	899.761299
cfa-mir-29b.MIMAT0006625	322.855525
cfa-mir-29c.MIMAT0006705	7.056951
cfa-mir-300.MIMAT0009929	0.000000
cfa-mir-301a.MIMAT0009853	0.000000
cfa-mir-301b.MIMAT0009854	0.000000
cfa-mir-302a.MIMAT0009855	0.000000
cfa-mir-302b.MIMAT0009856	0.000000
cfa-mir-302c.MIMAT0009857	0.000000
cfa-mir-302d.MIMAT0009858	0.000000
cfa-mir-30a.MIMAT0006604	1256.137342
cfa-mir-30b.MIMAT0006617	51.162897
cfa-mir-30c.MIMAT0006605	266.399914
cfa-mir-30d.MIMAT0006616	5319.177089
cfa-mir-30e.MIMAT0006627	1081.477796
cfa-mir-31.MIMAT0006599	1.764238
cfa-mir-32.MIMAT0006597	12.349665
cfa-mir-320.MIMAT0006658	806.256693
cfa-mir-323.MIMAT0006718	0.000000
cfa-mir-324.MIMAT0009896	1.764238
cfa-mir-325.MIMAT0009897	0.000000
cfa-mir-326.MIMAT0009894	1.764238
cfa-mir-328.MIMAT0006688	28.227805
cfa-mir-329a.MIMAT0006719	0.000000
cfa-mir-329b.MIMAT0009899	0.000000
cfa-mir-330.MIMAT0009893	0.000000
cfa-mir-331.MIMAT0009895	3.528476
cfa-mir-335.MIMAT0006624	0.000000
cfa-mir-338.MIMAT0006739	1.764238
cfa-mir-339-1.MIMAT0011134	12.349665
cfa-mir-33a.MIMAT0006593	0.000000
cfa-mir-33b.MIMAT0009862	7.056951
cfa-mir-340.MIMAT0009892	54.691373
cfa-mir-342.MIMAT0006709	22.935092
cfa-mir-345.MIMAT0006710	0.000000
cfa-mir-346.MIMAT0009898	0.000000
cfa-mir-34a.MIMAT0006690	1.764238
cfa-mir-34b.MIMAT0009838	0.000000
cfa-mir-34c.MIMAT0006693	0.000000
cfa-mir-350.MIMAT0006704	0.000000
cfa-mir-361.MIMAT0006751	3.528476
cfa-mir-362.MIMAT0009886	3.528476
cfa-mir-363.MIMAT0006750	26.463568
cfa-mir-365.MIMAT0001540	176.423784
cfa-mir-367.MIMAT0009859	0.000000
cfa-mir-369.MIMAT0006727	0.000000
cfa-mir-370.MIMAT0009889	5.292714
cfa-mir-371.MIMAT0007747	0.000000
cfa-mir-374a.MIMAT0006753	37.048995
cfa-mir-374b.MIMAT0006754	24.699330
cfa-mir-375.MIMAT0009871	1122.055267
cfa-mir-376a.MIMAT0006722	0.000000
cfa-mir-376b.MIMAT0009887	0.000000
cfa-mir-376c.MIMAT0009888	0.000000
cfa-mir-377.MIMAT0009890	0.000000
cfa-mir-378.MIMAT0006683	4479.399877
cfa-mir-379.MIMAT0006715	5.292714
cfa-mir-380.MIMAT0006717	0.000000
cfa-mir-381.MIMAT0009891	109.382746
cfa-mir-382.MIMAT0006724	0.000000
cfa-mir-383.MIMAT0006629	1.764238
cfa-mir-384.MIMAT0006752	0.000000
cfa-mir-3958.MIMAT0034388	0.000000
cfa-mir-409.MIMAT0006726	0.000000
cfa-mir-410.MIMAT0006728	0.000000
cfa-mir-411.MIMAT0006716	1.764238
cfa-mir-421.MIMAT0006755	3.528476
cfa-mir-423a.MIMAT0006742	2794.552739
cfa-mir-424.MIMAT0006745	10.585427
cfa-mir-425.MIMAT0006639	65.276800
cfa-mir-429.MIMAT0001539	1.764238
cfa-mir-432.MIMAT0009904	0.000000
cfa-mir-433.MIMAT0006712	0.000000
cfa-mir-448.MIMAT0001535	0.000000
cfa-mir-449a.MIMAT0001544	0.000000
cfa-mir-449b.MIMAT0034406	0.000000
cfa-mir-450a.MIMAT0001548	7.056951
cfa-mir-450b.MIMAT0006748	5.292714
cfa-mir-451.MIMAT0009870	248.757536
cfa-mir-452.MIMAT0009900	7.056951
cfa-mir-454.MIMAT0009927	0.000000
cfa-mir-455.MIMAT0006603	252.286011
cfa-mir-483.MIMAT0009901	1.764238
cfa-mir-485.MIMAT0006725	1.764238
cfa-mir-486.MIMAT0011132	472.815741
cfa-mir-486.MIMAT0032036	1.764238
cfa-mir-487a.MIMAT0009902	0.000000
cfa-mir-487b.MIMAT0006723	0.000000
cfa-mir-488.MIMAT0009903	0.000000
cfa-mir-489.MIMAT0009860	0.000000
cfa-mir-490.MIMAT0009875	1.764238
cfa-mir-491.MIMAT0006601	0.000000
cfa-mir-493.MIMAT0006711	1.764238
cfa-mir-494.MIMAT0009905	0.000000
cfa-mir-495.MIMAT0006721	0.000000
cfa-mir-496.MIMAT0009906	0.000000
cfa-mir-497.MIMAT0006691	0.000000
cfa-mir-499.MIMAT0006655	10.585427
cfa-mir-500.MIMAT0006759	26.463568
cfa-mir-502.MIMAT0006761	24.699330
cfa-mir-503.MIMAT0006746	1.764238
cfa-mir-504.MIMAT0009907	111.146984
cfa-mir-505.MIMAT0009908	5.292714
cfa-mir-506.MIMAT0034422	0.000000
cfa-mir-507a.MIMAT0034432	0.000000
cfa-mir-507b.MIMAT0034416	0.000000
cfa-mir-508a.MIMAT0034419	0.000000
cfa-mir-508b.MIMAT0034425	0.000000
cfa-mir-514.MIMAT0009877	0.000000
cfa-mir-532.MIMAT0006758	231.115157
cfa-mir-539.MIMAT0009909	0.000000
cfa-mir-542.MIMAT0006747	1.764238
cfa-mir-543.MIMAT0006720	0.000000
cfa-mir-544.MIMAT0009910	0.000000
