Gene	2CW
cfa-mir-339-1.MIMAT0011134	2.298984
cfa-mir-33a.MIMAT0006593	0.000000
cfa-mir-33b.MIMAT0009862	4.023222
cfa-mir-340.MIMAT0009892	18.966618
cfa-mir-342.MIMAT0006709	6.322206
cfa-mir-345.MIMAT0006710	0.000000
cfa-mir-346.MIMAT0009898	0.000000
cfa-mir-34a.MIMAT0006690	2.298984
cfa-mir-34b.MIMAT0009838	0.000000
cfa-mir-34c.MIMAT0006693	0.000000
cfa-mir-350.MIMAT0006704	2.873730
cfa-mir-361.MIMAT0006751	11.494920
cfa-mir-362.MIMAT0009886	5.747460
cfa-mir-363.MIMAT0006750	2.873730
cfa-mir-365.MIMAT0001540	34.484760
cfa-mir-367.MIMAT0009859	0.000000
cfa-mir-369.MIMAT0006727	0.000000
cfa-mir-370.MIMAT0009889	0.574746
cfa-mir-371.MIMAT0007747	0.574746
cfa-mir-374a.MIMAT0006753	24.714078
cfa-mir-374b.MIMAT0006754	17.817126
cfa-mir-375.MIMAT0009871	541.985483
cfa-mir-376a.MIMAT0006722	0.000000
cfa-mir-376b.MIMAT0009887	0.000000
cfa-mir-376c.MIMAT0009888	0.000000
cfa-mir-377.MIMAT0009890	0.000000
cfa-mir-378.MIMAT0006683	4436.464415
cfa-mir-379.MIMAT0006715	1.149492
cfa-mir-380.MIMAT0006717	0.000000
cfa-mir-381.MIMAT0009891	21.840348
cfa-mir-382.MIMAT0006724	0.000000
cfa-mir-383.MIMAT0006629	0.000000
cfa-mir-384.MIMAT0006752	0.000000
cfa-mir-3958.MIMAT0034388	0.574746
cfa-mir-409.MIMAT0006726	0.000000
cfa-mir-410.MIMAT0006728	0.000000
cfa-mir-411.MIMAT0006716	1.149492
cfa-mir-421.MIMAT0006755	1.149492
cfa-mir-423a.MIMAT0006742	360.940491
cfa-mir-424.MIMAT0006745	1.724238
cfa-mir-425.MIMAT0006639	66.095791
cfa-mir-429.MIMAT0001539	1.149492
cfa-mir-432.MIMAT0009904	0.000000
