taglen,crossmapped,rmsk_Simple_repeat,tRNA,LINE,rmsk_Other,No_CDS,rmsk_DNA,unannotated,Intron,Satellite,scRNA,srpRNA,snRNA,mature,rmsk_Unknown,star,LTR,Unknown,p5_UTR,rmsk_Low_complexity,rRNA,p3_UTR,SINE,rmsk_RNA,stemloop,Coding_Exon,precursor,snoRNA
22,5.32103394074709e-06,0,0,0,0,0,0,0.0204593755021726,0.0909258279794864,0,0,0,0,24.3063925837557,0,0,0,0.0751649254469934,0.000963107143275224,0,0,0.00352784550271532,0,0,3.19262036444826e-05,0.0184586667404517,0,0
23,0,0,0,0,0,0,0,0.00610322593003692,0.0322827129185126,0,0,0,0,0.727768454143862,0,0,0,0.0355019384526646,0.000995033346919707,0,0,0.0036715134191155,0,0,2.66051697037355e-05,0.0208158847762026,0,0
24,0,0,0,0,0,0,0,0.00153777880887591,0.0122756253013035,0,0,0,0,0.0427225815102584,0,0,0,0.0374015475695113,0.00137282675671275,0,0,0.00380453926763417,0,0,0,0.022029080514693,0,0
25,0,0,0,0,0,0,0,0.000244767561274366,0.012392688048,0,0,0,0,0.00171337292892056,0,0,0,0.0403440793387445,0.0014579632997647,0,0,0.00371408169064147,0,0,5.32103394074709e-06,0.0226303573499974,0,0
26,0,0,0,0,0,0,0,0.000276693764918849,0.012855618000845,0,0,0,0,0.00029265686674109,0,0,0,0.0532209814753524,0.00152713674099442,0,0,0.00483681985213911,0,0,0,0.0233859441695835,0,0
27,0,0,0,0,0,0,0,8.51365430519535e-05,0.0213586302381588,0,0,0,0,0.000308619968563331,0,0,0,0.631995164244355,0.00151649467311292,0,0,0.00601276835304422,0,0,1.06420678814942e-05,0.0242107044303993,0,0
28,0,0,0,0,0,0,0,4.25682715259768e-05,0.0286378046691009,0,0,0,0,0.000223483425511378,0,0,0,0.233077249706545,0.00156970501252039,0,0,0.015021278814729,0,0,0,0.0245672137044293,0,0
29,0,0,0,0,0,0,0,0.000218162391570631,0.019251500797623,0,0,0,0,8.51365430519535e-05,0,0,0,0.288149950993277,0.0013781477906535,0,0,0.147328787751406,0,0,0,0.0236945641381468,0,0
30,0,0,0,0,0,0,0,4.25682715259768e-05,0.0239978630727694,0,0,0,0,5.32103394074709e-06,0,0,0,0.267759748932335,0.00131429538336453,0,0,0.0491025012052142,0,0,0,0.0228804459452125,0,0
31,0,0,0,0,0,0,0,7.44944751704593e-05,0.0446115485592236,0,0,0,0,6.91734412297122e-05,0,0,0,2.02613798292374,0.00133557951912752,0,0,0.394267330873597,0,0,0,0.0231677817780129,3.19262036444826e-05,0
32,0,0,0,0,0,0,0,1.59631018222413e-05,0.0147339429819287,0,0,0,0,7.44944751704593e-05,0,0,0,0.385700466228994,0.0014686053676462,0,0,0.0115519646853619,0,0,0,0.0211351468126475,0,0
33,0,0,0,0,0,0,0,1.59631018222413e-05,0.0601383255983237,0,0,0,0,5.8531373348218e-05,0,0,0,0.140427406730257,0.00219758701752855,0,0,0.0554345315947032,0,0,0,0.0225771470105899,0,0
