Gene	17LB
cfa-mir-503.MIMAT0006746	13.988904
cfa-mir-504.MIMAT0009907	9.537889
cfa-mir-505.MIMAT0009908	38.151557
cfa-mir-506.MIMAT0034422	1.271719
cfa-mir-507a.MIMAT0034432	0.000000
cfa-mir-507b.MIMAT0034416	0.000000
cfa-mir-508a.MIMAT0034419	0.000000
cfa-mir-508b.MIMAT0034425	0.000000
cfa-mir-514.MIMAT0009877	0.000000
cfa-mir-532.MIMAT0006758	911.186354
cfa-mir-539.MIMAT0009909	0.000000
cfa-mir-542.MIMAT0006747	26.706090
cfa-mir-543.MIMAT0006720	6.358593
cfa-mir-544.MIMAT0009910	0.000000
cfa-mir-545.MIMAT0009911	0.635859
cfa-mir-551a.MIMAT0009912	12.081326
cfa-mir-551b.MIMAT0009913	0.000000
cfa-mir-568.MIMAT0009914	0.000000
cfa-mir-574.MIMAT0006673	116.362249
cfa-mir-578.MIMAT0009915	0.000000
cfa-mir-582.MIMAT0009916	0.000000
cfa-mir-589.MIMAT0009917	0.000000
cfa-mir-590.MIMAT0006700	19.075779
cfa-mir-592.MIMAT0009918	3.815156
cfa-mir-599.MIMAT0009919	0.000000
cfa-mir-615.MIMAT0009920	0.000000
cfa-mir-628.MIMAT0009921	5.086874
cfa-mir-631.MIMAT0009922	0.000000
cfa-mir-632.MIMAT0009923	1.271719
cfa-mir-6516.MIMAT0034393	17.168201
cfa-mir-652.MIMAT0006743	59.770773
cfa-mir-6529.MIMAT0034278	17.168201
cfa-mir-653.MIMAT0009924	0.000000
cfa-mir-660.MIMAT0006760	19.075779
cfa-mir-664.MIMAT0006680	1.271719
cfa-mir-665.MIMAT0009934	0.000000
cfa-mir-671.MIMAT0009926	5.722734
cfa-mir-676.MIMAT0006762	5.722734
cfa-mir-7.MIMAT0006634	520.132895
cfa-mir-708.MIMAT0006643	53.412180
cfa-mir-718.MIMAT0009939	0.000000
cfa-mir-7180.MIMAT0034382	4.451015
cfa-mir-758.MIMAT0009925	0.000000
cfa-mir-759.MIMAT0009938	0.000000
cfa-mir-761.MIMAT0009936	0.000000
cfa-mir-764.MIMAT0009937	0.000000
cfa-mir-769.MIMAT0034400	1.271719
cfa-mir-802.MIMAT0009928	22.890934
cfa-mir-872.MIMAT0009940	0.000000
cfa-mir-874.MIMAT0009930	41.330853
cfa-mir-875.MIMAT0009931	0.000000
cfa-mir-876.MIMAT0009932	0.000000
cfa-mir-8789.MIMAT0034279	0.000000
cfa-mir-8790.MIMAT0034280	0.000000
cfa-mir-8791a.MIMAT0034281	0.000000
cfa-mir-8791b.MIMAT0034430	0.000000
