Gene	10TB
cfa-mir-423a.MIMAT0006742	1194.510305
cfa-mir-424.MIMAT0006745	22.855686
cfa-mir-425.MIMAT0006639	240.586164
cfa-mir-429.MIMAT0001539	58.943610
cfa-mir-432.MIMAT0009904	2.405862
cfa-mir-433.MIMAT0006712	1.202931
cfa-mir-448.MIMAT0001535	0.000000
cfa-mir-449a.MIMAT0001544	0.000000
cfa-mir-449b.MIMAT0034406	0.000000
cfa-mir-450a.MIMAT0001548	283.891674
cfa-mir-450b.MIMAT0006748	325.994252
cfa-mir-451.MIMAT0009870	10386.104706
cfa-mir-452.MIMAT0009900	33.682063
cfa-mir-454.MIMAT0009927	20.449824
cfa-mir-455.MIMAT0006603	947.909487
cfa-mir-483.MIMAT0009901	30.073271
cfa-mir-485.MIMAT0006725	0.000000
cfa-mir-486.MIMAT0011132	1614.333161
cfa-mir-486.MIMAT0032036	15.638101
cfa-mir-487a.MIMAT0009902	1.202931
cfa-mir-487b.MIMAT0006723	1.202931
cfa-mir-488.MIMAT0009903	1.202931
cfa-mir-489.MIMAT0009860	1.202931
cfa-mir-490.MIMAT0009875	6.014654
cfa-mir-491.MIMAT0006601	1.202931
cfa-mir-493.MIMAT0006711	0.000000
cfa-mir-494.MIMAT0009905	3.608792
cfa-mir-495.MIMAT0006721	2.405862
cfa-mir-496.MIMAT0009906	0.000000
cfa-mir-497.MIMAT0006691	394.561309
cfa-mir-499.MIMAT0006655	417.416995
cfa-mir-500.MIMAT0006759	287.500466
cfa-mir-502.MIMAT0006761	375.314416
cfa-mir-503.MIMAT0006746	36.087925
cfa-mir-504.MIMAT0009907	61.349472
cfa-mir-505.MIMAT0009908	52.928956
cfa-mir-506.MIMAT0034422	0.000000
cfa-mir-507a.MIMAT0034432	0.000000
cfa-mir-507b.MIMAT0034416	0.000000
cfa-mir-508a.MIMAT0034419	0.000000
cfa-mir-508b.MIMAT0034425	0.000000
cfa-mir-514.MIMAT0009877	0.000000
cfa-mir-532.MIMAT0006758	1104.290493
cfa-mir-539.MIMAT0009909	0.000000
cfa-mir-542.MIMAT0006747	84.205157
cfa-mir-543.MIMAT0006720	1.202931
cfa-mir-544.MIMAT0009910	0.000000
cfa-mir-545.MIMAT0009911	13.232239
cfa-mir-551a.MIMAT0009912	30.073271
cfa-mir-551b.MIMAT0009913	0.000000
cfa-mir-568.MIMAT0009914	0.000000
cfa-mir-574.MIMAT0006673	125.104805
cfa-mir-578.MIMAT0009915	0.000000
cfa-mir-582.MIMAT0009916	3.608792
cfa-mir-589.MIMAT0009917	0.000000
cfa-mir-590.MIMAT0006700	311.559083
cfa-mir-592.MIMAT0009918	10.826377
cfa-mir-599.MIMAT0009919	0.000000
cfa-mir-615.MIMAT0009920	0.000000
cfa-mir-628.MIMAT0009921	6.014654
cfa-mir-631.MIMAT0009922	0.000000
cfa-mir-632.MIMAT0009923	0.000000
cfa-mir-6516.MIMAT0034393	20.449824
cfa-mir-652.MIMAT0006743	174.424969
cfa-mir-6529.MIMAT0034278	7.217585
cfa-mir-653.MIMAT0009924	0.000000
cfa-mir-660.MIMAT0006760	163.598592
cfa-mir-664.MIMAT0006680	0.000000
cfa-mir-665.MIMAT0009934	0.000000
cfa-mir-671.MIMAT0009926	7.217585
cfa-mir-676.MIMAT0006762	3.608792
cfa-mir-7.MIMAT0006634	1895.818973
cfa-mir-708.MIMAT0006643	64.958264
cfa-mir-718.MIMAT0009939	0.000000
cfa-mir-7180.MIMAT0034382	4.811723
cfa-mir-758.MIMAT0009925	0.000000
cfa-mir-759.MIMAT0009938	0.000000
cfa-mir-761.MIMAT0009936	0.000000
cfa-mir-764.MIMAT0009937	0.000000
cfa-mir-769.MIMAT0034400	8.420516
cfa-mir-802.MIMAT0009928	257.427196
cfa-mir-872.MIMAT0009940	0.000000
cfa-mir-874.MIMAT0009930	37.290855
cfa-mir-875.MIMAT0009931	0.000000
