taglen,crossmapped,p3_UTR,tRNA,LINE,p5_UTR,snoRNA,star,rmsk_Unknown,precursor,LTR,Unknown,rmsk_DNA,scRNA,Intron,No_CDS,stemloop,snRNA,unannotated,SINE,rRNA,rmsk_Low_complexity,Satellite,srpRNA,rmsk_RNA,rmsk_Other,Coding_Exon,rmsk_Simple_repeat,mature
41,0,0.00130820526086107,0,0,0.000394929890071265,0,0,0,0,0,0.0452046625422822,0,0,0.0245695757860586,0,4.93662362589081e-06,0,4.93662362589081e-06,0,0,0,0,0,0,0,0.00853048562553933,0,4.44296126330173e-05
42,0,0.0012341559064727,0,0,0.000434422879078392,0,0,0,0,0,0.0566329462362194,0,0,0.0168832528005466,0,4.93662362589081e-06,0,0,0,0,0,0,0,0,0,0.00837745029313671,0,1.97464945035633e-05
43,0,0.001130486810329,0,0,0.000340627030186466,0,0,0,0,0,0.0764139971051639,0,0,0.0147308848996582,0,0,0,0,0,0,0,0,0,0,0,0.00919692981503459,0,1.97464945035633e-05
44,0,0.0016142759256663,0,0,0.000473915868085518,0,0,0,0,0,0.0917718332053102,0,0,0.0112011990071463,0,0,0,0,0,0,0,0,0,0,0,0.00897971837549539,0,0.000103669096143707
45,0,0.00155009981852972,0,0,0.000454169373581955,0,0,0,0,0,0.0855319409421842,0,0,0.0518049283300982,0,0,0,4.93662362589081e-06,0,0,0,0,0,0,0,0.0108556353533339,0,0.00112555018670311
46,0,0.00168832528005466,0,0,0.0011847896702138,0,0,0,4.93662362589081e-06,0,0.313737241296239,0,0,0.174642934013139,0,0,0,0,0,0,0,0,0,0,0,0.0164438932978423,0,0.00012341559064727
47,0,0.00503535609840863,0,0,0.0019351564613492,0,0,0,4.93662362589081e-06,0,6.84692418728365,0,0,3.06941485212838,0,0,0,0,0,0,0,0,0,0,0,0.0449134017483546,0,0.000143162085150834
48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,0,0.0953953149467141,0,0,0.0378737764578343,0,0,0,2.96197417553449e-05,0,51.1777895379123,0,0,27.9378488958748,0,1.48098708776724e-05,0,0.000197464945035633,0,0,0,0,0,0,0,0.324489207553429,0,0.00280893884313187
