Gene	JB1
cfa-mir-323.MIMAT0006718	0.000000
cfa-mir-324.MIMAT0009896	0.000000
cfa-mir-325.MIMAT0009897	0.000000
cfa-mir-326.MIMAT0009894	0.000000
cfa-mir-328.MIMAT0006688	33.535853
cfa-mir-329a.MIMAT0006719	0.000000
cfa-mir-329b.MIMAT0009899	1.397327
cfa-mir-330.MIMAT0009893	1.397327
cfa-mir-331.MIMAT0009895	9.781290
cfa-mir-335.MIMAT0006624	1.397327
cfa-mir-338.MIMAT0006739	2.794654
cfa-mir-339-1.MIMAT0011134	61.482396
cfa-mir-33a.MIMAT0006593	0.000000
cfa-mir-33b.MIMAT0009862	0.000000
cfa-mir-340.MIMAT0009892	518.408388
cfa-mir-342.MIMAT0006709	95.018249
cfa-mir-345.MIMAT0006710	1.397327
cfa-mir-346.MIMAT0009898	0.000000
cfa-mir-34a.MIMAT0006690	44.714470
cfa-mir-34b.MIMAT0009838	0.000000
cfa-mir-34c.MIMAT0006693	6.986636
cfa-mir-350.MIMAT0006704	0.000000
cfa-mir-361.MIMAT0006751	124.362120
cfa-mir-362.MIMAT0009886	96.415576
cfa-mir-363.MIMAT0006750	82.442304
cfa-mir-365.MIMAT0001540	413.608849
cfa-mir-367.MIMAT0009859	0.000000
cfa-mir-369.MIMAT0006727	0.000000
cfa-mir-370.MIMAT0009889	0.000000
cfa-mir-371.MIMAT0007747	12.575945
cfa-mir-374a.MIMAT0006753	326.974563
cfa-mir-374b.MIMAT0006754	204.009770
cfa-mir-375.MIMAT0009871	978.129035
cfa-mir-376a.MIMAT0006722	0.000000
cfa-mir-376b.MIMAT0009887	0.000000
cfa-mir-376c.MIMAT0009888	0.000000
cfa-mir-377.MIMAT0009890	0.000000
cfa-mir-378.MIMAT0006683	2540.340836
cfa-mir-379.MIMAT0006715	13.973272
cfa-mir-380.MIMAT0006717	0.000000
cfa-mir-381.MIMAT0009891	30.741198
cfa-mir-382.MIMAT0006724	1.397327
cfa-mir-383.MIMAT0006629	2.794654
cfa-mir-384.MIMAT0006752	0.000000
cfa-mir-3958.MIMAT0034388	0.000000
cfa-mir-409.MIMAT0006726	0.000000
cfa-mir-410.MIMAT0006728	0.000000
cfa-mir-411.MIMAT0006716	6.986636
cfa-mir-421.MIMAT0006755	12.575945
cfa-mir-423a.MIMAT0006742	1319.076870
cfa-mir-424.MIMAT0006745	5.589309
cfa-mir-425.MIMAT0006639	173.268572
cfa-mir-429.MIMAT0001539	92.223595
cfa-mir-432.MIMAT0009904	0.000000
cfa-mir-433.MIMAT0006712	0.000000
cfa-mir-448.MIMAT0001535	0.000000
cfa-mir-449a.MIMAT0001544	0.000000
cfa-mir-449b.MIMAT0034406	0.000000
cfa-mir-450a.MIMAT0001548	71.263687
cfa-mir-450b.MIMAT0006748	47.509125
cfa-mir-451.MIMAT0009870	1647.448760
cfa-mir-452.MIMAT0009900	23.754562
cfa-mir-454.MIMAT0009927	2.794654
cfa-mir-455.MIMAT0006603	447.144702
cfa-mir-483.MIMAT0009901	4.191982
cfa-mir-485.MIMAT0006725	0.000000
cfa-mir-486.MIMAT0011132	729.404795
cfa-mir-486.MIMAT0032036	22.357235
cfa-mir-487a.MIMAT0009902	0.000000
cfa-mir-487b.MIMAT0006723	0.000000
cfa-mir-488.MIMAT0009903	0.000000
cfa-mir-489.MIMAT0009860	0.000000
cfa-mir-490.MIMAT0009875	1.397327
cfa-mir-491.MIMAT0006601	0.000000
cfa-mir-493.MIMAT0006711	0.000000
cfa-mir-494.MIMAT0009905	1.397327
cfa-mir-495.MIMAT0006721	0.000000
cfa-mir-496.MIMAT0009906	0.000000
cfa-mir-497.MIMAT0006691	69.866360
cfa-mir-499.MIMAT0006655	164.884609
cfa-mir-500.MIMAT0006759	150.911337
cfa-mir-502.MIMAT0006761	222.175024
cfa-mir-503.MIMAT0006746	12.575945
cfa-mir-504.MIMAT0009907	5.589309
cfa-mir-505.MIMAT0009908	64.277051
cfa-mir-506.MIMAT0034422	0.000000
cfa-mir-507a.MIMAT0034432	0.000000
cfa-mir-507b.MIMAT0034416	0.000000
cfa-mir-508a.MIMAT0034419	0.000000
cfa-mir-508b.MIMAT0034425	0.000000
