miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
cfa-mir-186	3926	4526.039715	N
cfa-mir-187	1	1.152837	N
cfa-mir-188	7	8.069862	N
cfa-mir-18a	72	83.004294	N
cfa-mir-18b	0	0.000000	N
cfa-mir-190a	4	4.611350	N
cfa-mir-190b	7	8.069862	N
cfa-mir-191	7055	8133.268006	N
cfa-mir-192	15907	18338.184857	N
cfa-mir-193a	215	247.860046	N
cfa-mir-193b	923	1064.068940	N
cfa-mir-194	9660	11136.409488	N
cfa-mir-195	673	775.859584	N
cfa-mir-196a-1	0	0.000000	N
cfa-mir-196a-2	0	0.000000	N
cfa-mir-196b	2	2.305675	N
cfa-mir-197	134	154.480214	N
cfa-mir-199-1	7873	9076.289016	N
cfa-mir-199-2	7904	9112.026976	N
cfa-mir-199-3	6319	7284.779664	N
cfa-mir-19a	18	20.751074	N
cfa-mir-19b-1	98	112.978067	N
cfa-mir-19b-2	92	106.061043	N
cfa-mir-200a	678	781.623772	N
cfa-mir-200b	730	841.571317	N
cfa-mir-200c	27	31.126610	N
cfa-mir-202	0	0.000000	N
cfa-mir-203	258	297.432055	N
cfa-mir-204	157	180.995475	N
cfa-mir-205	1	1.152837	N
cfa-mir-206	0	0.000000	N
cfa-mir-207	0	0.000000	N
cfa-mir-208a	0	0.000000	N
cfa-mir-208b	0	0.000000	N
cfa-mir-20a	1100	1268.121163	N
cfa-mir-20b	13	14.986886	N
cfa-mir-21	65185	75147.707295	N
cfa-mir-210	21	24.209586	N
cfa-mir-211	0	0.000000	N
cfa-mir-2114	0	0.000000	N
cfa-mir-212	3	3.458512	N
cfa-mir-214	471	542.986425	N
cfa-mir-215	41	47.266334	N
cfa-mir-216a	0	0.000000	N
cfa-mir-216b	0	0.000000	N
cfa-mir-217	0	0.000000	N
cfa-mir-218-1	98	112.978067	N
cfa-mir-218-2	99	114.130905	N
cfa-mir-219-1	6	6.917025	N
cfa-mir-219-2	4	4.611350	N
cfa-mir-22	7987	9207.712482	N
cfa-mir-221	3998	4609.044010	N
cfa-mir-222	2820	3251.001528	N
cfa-mir-223	74	85.309969	N
cfa-mir-224	40	46.113497	N
cfa-mir-2387	24	27.668098	N
cfa-mir-23a	1542	1777.675303	N
cfa-mir-23b	652	751.649999	N
cfa-mir-24-1	1207	1391.474767	N
cfa-mir-24-2	1192	1374.182206	N
cfa-mir-2483	56	64.558896	N
cfa-mir-25	1711	1972.504828	N
cfa-mir-26a-1	13511	15575.986397	N
cfa-mir-26a-2	13431	15483.759403	N
cfa-mir-26b	18136	20907.859469	N
cfa-mir-27a	1630	1879.124996	N
cfa-mir-27b	9223	10632.619535	N
cfa-mir-28	1744	2010.548462	N
cfa-mir-299	4	4.611350	N
cfa-mir-29a	5243	6044.326599	N
cfa-mir-29b-1	508	585.641410	N
cfa-mir-29b-2	529	609.850996	N
cfa-mir-29c-1	102	117.589417	N
cfa-mir-29c-2	83	95.685506	N
cfa-mir-300	1	1.152837	N
cfa-mir-301a	5	5.764187	N
cfa-mir-301b	0	0.000000	N
cfa-mir-302a	0	0.000000	N
cfa-mir-302b	0	0.000000	N
cfa-mir-302c	0	0.000000	N
cfa-mir-302d	0	0.000000	N
cfa-mir-30a	10202	11761.247370	N
cfa-mir-30b	3252	3749.027293	N
cfa-mir-30c-1	4150	4784.275298	N
cfa-mir-30c-2	4105	4732.397614	N
cfa-mir-30d	11007	12689.281494	N
cfa-mir-30e	3231	3724.817708	N
cfa-mir-31	109	125.659279	N
cfa-mir-32	108	124.506441	N
cfa-mir-320	844	972.994783	N
cfa-mir-323	0	0.000000	N
cfa-mir-324	19	21.903911	N
cfa-mir-325	0	0.000000	N
cfa-mir-326	16	18.445399	N
cfa-mir-328	30	34.585123	N
cfa-mir-329a	0	0.000000	N
cfa-mir-329b	0	0.000000	N
cfa-mir-330	24	27.668098	N
cfa-mir-331	118	136.034816	N
cfa-mir-335	3	3.458512	N
cfa-mir-338	23	26.515261	N
cfa-mir-339-1	617	711.300689	N
cfa-mir-33a	12	13.834049	N
cfa-mir-33b	2	2.305675	N
cfa-mir-340	1040	1198.950918	N
cfa-mir-342	359	413.868634	N
cfa-mir-345	4	4.611350	N
cfa-mir-346	0	0.000000	N
