taglen,crossmapped,rmsk_Low_complexity,Coding_Exon,rmsk_DNA,star,LINE,rmsk_Unknown,Intron,rmsk_RNA,rRNA,snRNA,p5_UTR,mature,No_CDS,p3_UTR,scRNA,LTR,SINE,rmsk_Simple_repeat,precursor,srpRNA,Satellite,rmsk_Other,snoRNA,Unknown,unannotated,tRNA,stemloop
31,0,0,0.00326546871620047,0,0,0,0,0.0104421891409843,0,0,0,0.000406152825398068,0.000105599734603498,0,0.00469918818985565,0,0,0,0,0,0,0,0,0,0.0405218673899653,1.62461130159227e-05,0,0
32,0,0,0.00347666818540747,0,0,0,0,0.00880539325463012,0,0,0,0.00510127948699974,8.9353621587575e-05,0,0.00540995563430227,0,0,0,0,4.06152825398068e-06,0,0,0,0,0.147023261265847,3.24922260318455e-05,0,0
33,0,0,0.00553180148192169,0,0,0,0,0.0116362784476547,0,0,0,0.00229476346349909,2.43691695238841e-05,0,0.0203807487784751,0,0,0,0,4.06152825398068e-06,0,0,0,0,0.460154905062996,1.21845847619421e-05,0,4.06152825398068e-06
34,0,0,0.00682742899494153,0,0,0,0,0.0138051345352803,0,0,0,0.00579173929017645,2.84306977778648e-05,0,0.0259653501276985,0,0,0,0,0,0,0,0,0,0.148521965191566,8.12305650796137e-06,0,4.06152825398068e-06
35,0,0,0.00461389609652206,0,0,0,0,0.0155962684952858,0,0,0,0.00172614950794179,0.00017870724317515,0,0.00995480575050666,0,0,0,0,0,0,0,0,0,0.0705081304891047,4.06152825398068e-06,0,4.06152825398068e-06
36,0,0,0.00678275218414774,0,0,0,0,0.00742853517653067,0,0,0,0.000840736348574001,0.000109661262857478,0,0.00523937144763508,0,0,0,0,4.06152825398068e-06,0,0,0,0,0.0988616592301438,8.12305650796137e-06,0,8.12305650796137e-06
37,0,0,0.00707112069018037,0,0,0,0,0.00785499564319864,0,0,0,0.000970705252701383,2.43691695238841e-05,0,0.0017870724317515,0,0,0,0,0,0,0,0,0,0.0544894630554048,8.12305650796137e-06,0,8.12305650796137e-06
38,0,0,0.00618976905906656,0,0,0,0,0.0145727633752827,0,0,0,0.000434583523175933,8.12305650796137e-06,0,0.00157993449079849,0,0,0,0,0,0,0,0,0,0.0391896861226596,0,0,8.12305650796137e-06
39,0,0,0.00719702806605377,0,0,0,0,0.0196374891079966,0,0,0,0.000499567975239624,0.000101538206349517,0,0.00179925701651344,0,0,0,0,0,0,0,0,0,0.0425891852712414,4.06152825398068e-06,0,0
40,0,0,0.00692490567303707,0,0,0,0,0.0200111497073628,0,0,0,0.000507691031747585,3.65537542858262e-05,0,0.00179113396000548,0,0,0,0,0,0,0,0,0,0.0330486554026408,4.06152825398068e-06,0,4.06152825398068e-06
41,0,0,0.00698989012510076,0,0,0,0,0.0236096637403897,0,0,0,0.000454891164445837,5.27998673017489e-05,0,0.00154338073651266,0,0,0,0,0,0,0,0,0,0.032163242243273,0,0,8.12305650796137e-06
42,0,0,0.00775345743684912,0,0,0,0,0.018073800730214,0,0,0,0.000434583523175933,2.03076412699034e-05,0,0.00155150379302062,0,0,0,0,0,0,0,0,0,0.0493313221728494,8.12305650796137e-06,0,0
43,0,0,0.00776970354986505,0,0,0,0,0.0169040805930676,0,0,0,0.000402091297144088,1.21845847619421e-05,0,0.00173021103619577,0,0,0,0,0,0,0,0,0,0.0834197288085093,0,0,0
44,0,0,0.00809056428192952,0,0,0,0,0.0128547369238489,0,0,0,0.000487383390477682,6.49844520636909e-05,0,0.00198608731619655,0,0,0,0,4.06152825398068e-06,0,0,0,0,0.106192717728579,0,0,4.06152825398068e-06
45,0,0,0.0105437273473339,0,0,0,0,0.0415372494534604,0,0,0,0.000560490899049334,0.00116159708063848,0,0.00182768771429131,0,0,0,0,0,0,0,0,0,0.102569834526028,0,0,0
46,0,0,0.0153931920825868,0,0,0,0,0.161437625039224,0,0,0,0.00122252000444819,0.000158399601905247,0,0.00273747004318298,0,0,0,0,0,0,0,0,0,0.400275794014558,8.12305650796137e-06,0,4.06152825398068e-06
47,0,0,0.0412935577582216,0,0,0,0,2.59833426978636,0,0,0,0.00207137940953015,8.9353621587575e-05,0,0.00750976574161028,0,0,0,0,4.06152825398068e-06,0,0,0,0,11.960368094681,8.12305650796137e-06,0,0
48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,0,0,0.288287275467549,0,0,0,0,31.760976300414,0,0,0,0.0322119805823208,0.00281870060826259,0,0.109645016744463,0,0,0,0,3.24922260318455e-05,0,0,0,0,46.4421134340977,0.000105599734603498,0,0
