taglen,crossmapped,snoRNA,rmsk_Unknown,unannotated,rmsk_Low_complexity,Intron,LINE,rmsk_DNA,p5_UTR,No_CDS,Satellite,rRNA,scRNA,SINE,stemloop,p3_UTR,srpRNA,rmsk_Other,star,mature,rmsk_RNA,Coding_Exon,tRNA,LTR,snRNA,precursor,rmsk_Simple_repeat,Unknown
26,0,0,0,0.000502036350357017,0,0.00436020546806134,0,0,0.000442740718425086,0,0,0,0,0,0,0.00118986568076742,0,0,0,0.000201605148568566,0,0.00392537083389384,0,0,0,0,0,0.0359529181613943
27,0,0,0,6.7201716189522e-05,0,0.00701664977861185,0,0,0.0014665786297831,0,0,0,0,0,0,0.00107522745903235,0,0,0,7.51078004471128e-05,0,0.00433253417315977,0,0,0,0,0,0.0580583297456182
28,0,0,0,8.30138847047036e-05,0,0.0109657388652785,0,0,0.000466458971197858,0,0,0,0,0,0,0.00121753697566899,0,0,0,3.55773791591587e-05,0,0.00452623323747074,0,0,0,0,0,0.0702178873337929
29,0,0,0,1.58121685151816e-05,0,0.00755426350812803,0,0,0.00129659781824489,0,0,0,0,0,0,0.00257738346797461,0,0,0,2.37182527727725e-05,0,0.00462901233281942,0,0,0,0,0,0.0919200886208797
30,0,0,0,1.9765210643977e-05,0,0.0076649486877343,0,0,0.00433253417315977,0,0,0,0,0,3.95304212879541e-06,0.00243902699346677,0,0,0,5.53425898031357e-05,0,0.00522592169426753,0,0,0,0,0,0.100763043862995
31,0,0,0,0.000126497348121453,0,0.0134442962800332,0,0,0.000826185804918241,0,0,0,0,0,0,0.0120488724085684,0,0,0,0.00018974602218218,0,0.0055105407275408,0,0,0,0,0,0.093904515769535
32,0,0,0,2.76712949015679e-05,0,0.013448249322162,0,0,0.0139621447989054,0,0,0,0,0,0,0.0124837070427359,0,0,0,3.95304212879541e-05,0,0.00531288862110103,0,0,0,0,0,0.208076278533404
33,0,0,0,1.58121685151816e-05,0,0.033889430170163,0,0,0.00619441701582241,0,0,0,0,0,0,0.030972085079112,0,0,0,3.55773791591587e-05,0,0.00694154197816474,0,0,0,0,0,0.379559246080549
34,0,0,0,3.95304212879541e-06,0,0.0373048585694423,0,0,0.0108669128120586,0,0,0,0,0,1.58121685151816e-05,0.0749259605091882,0,0,0,1.18591263863862e-05,0,0.00796142684739395,0,0,0,0,0,0.348389508894997
35,0,0,0,7.90608425759082e-06,0,0.0246709359258122,0,0,0.00375143698022684,0,0,0,0,0,5.13895476743403e-05,0.0146104437080278,0,0,0,0.000142309516636635,0,0.00643950562780772,0,0,0,0,0,0.0999724354372359
36,0,0,0,3.95304212879541e-06,0,0.0167292742890622,0,0,0.00107127441690356,0,0,0,0,0,7.90608425759082e-06,0.00611930921537529,0,0,0,8.6966926833499e-05,0,0.00823418675428084,0,0,0,0,0,0.0913548035964619
37,0,0,0,0,0,0.0153575686703702,0,0,0.000802467552145468,0,0,0,0,0,1.18591263863862e-05,0.00192908455885216,0,0,0,1.9765210643977e-05,0,0.00842393277646302,0,0,0,3.95304212879541e-06,0,0.0807171672278735
38,0,0,0,3.95304212879541e-06,0,0.0290311413938735,0,0,0.000648298909122447,0,0,0,0,0,3.16243370303633e-05,0.00157331076726057,0,0,0,2.76712949015679e-05,0,0.00822628067002325,0,0,0,3.95304212879541e-06,0,0.0789303921856579
39,0,0,0,0,0,0.0247776680632896,0,0,0.000561331982288948,0,0,0,0,0,7.90608425759082e-06,0.00212673666529193,0,0,0,7.51078004471128e-05,0,0.00891411000043365,0,0,0,0,0,0.089749868492171
40,0,0,0,0,0,0.0246946541785849,0,0,0.000640392824864856,0,0,0,0,0,7.90608425759082e-06,0.00162470031493491,0,0,0,4.74365055455449e-05,0,0.00860181967225881,0,0,0,0,0,0.0593153971425751
41,0,0,0,7.90608425759082e-06,0,0.0629680080695821,0,0,0.000422975507781109,0,0,0,0,0,7.90608425759082e-06,0.0016326063991925,0,0,0,4.74365055455449e-05,0,0.00933313246608596,0,0,0,0,0,0.0671661388103628
42,0,0,0,1.18591263863862e-05,0,0.0259200972385115,0,0,0.000494130266099426,0,0,0,0,0,1.18591263863862e-05,0.00152192121958623,0,0,0,4.34834634167495e-05,0,0.00863344400928917,0,0,0,3.95304212879541e-06,0,0.0875638361949471
43,0,0,0,3.95304212879541e-06,0,0.0245483916198195,0,0,0.000537613729516176,0,0,0,0,0,0,0.00166027769409407,0,0,0,2.37182527727725e-05,0,0.00904851343281269,0,0,0,7.90608425759082e-06,0,0.10927789660842
44,0,0,0,0,0,0.0191880664931729,0,0,0.000585050235061721,0,0,0,0,0,0,0.00176700983157155,0,0,0,4.74365055455449e-05,0,0.0093845220137603,0,0,0,0,0,0.159556639444569
45,0,0,0,0,0,0.0944618947096951,0,0,0.00062853369847847,0,0,0,0,0,0,0.00194094368523855,0,0,0,0.000881528394721376,0,0.0115468360582114,0,0,0,0,0,0.217674264822119
46,0,0,0,7.90608425759082e-06,0,0.347302422309578,0,0,0.00171562028389721,0,0,0,0,0,0,0.00283037816421751,0,0,0,9.48730110910898e-05,0,0.0175277887990788,0,0,0,0,0,0.322690782015698
47,0,0,0,7.90608425759082e-06,0,3.69912637373649,0,0,0.00290943900679342,0,0,0,0,0,3.95304212879541e-06,0.00774005648818141,0,0,0,6.32486740607265e-05,0,0.0496502091376703,0,0,0,3.95304212879541e-06,0,4.94617280889694
48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,0,0,0,0.000193699064310975,0,27.2010765873055,0,0,0.0503301323838232,0,0,0,0,0,0,0.0980749752154141,0,0,0,0.00188955413756421,0,0.369482941694249,0,0,0,5.53425898031357e-05,0,57.1812208519968
