,Gene,X1_1PP,X10_1KD,X10TB,X11DA_H,X11SLS,X12_2SST,X12HR,X13MF,X15BB,X16_2BP,X17LB,X18TD,X1WV,X2CW,X3RY,X4HB,X4MH,X5SW,X6_1PH,X6SB,X7_1GG,X7GH,X8CB,X8RP,X9CG,X9CW,XJB1
344,cfa-mir-8820.MIMAT0034310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
345,cfa-mir-8821.MIMAT0034311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
346,cfa-mir-8822.MIMAT0034312,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0
347,cfa-mir-8823.MIMAT0034313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
348,cfa-mir-8824.MIMAT0034314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
349,cfa-mir-8825.MIMAT0034315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3
350,cfa-mir-8826.MIMAT0034317,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,1,0,0,3,0
351,cfa-mir-8827.MIMAT0034319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
352,cfa-mir-8828.MIMAT0034320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
353,cfa-mir-8829.MIMAT0034322,1,0,2,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,1,0,4,0,0
354,cfa-mir-8830.MIMAT0034323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
355,cfa-mir-8831.MIMAT0034324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
356,cfa-mir-8832.MIMAT0034325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
357,cfa-mir-8833.MIMAT0034326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
358,cfa-mir-8834a.MIMAT0034327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
359,cfa-mir-8834b.MIMAT0034431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
360,cfa-mir-8835.MIMAT0034328,2,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,6,0,3,1,0,9,5
361,cfa-mir-8836.MIMAT0034329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
362,cfa-mir-8837.MIMAT0034330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
