miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
cfa-mir-152	1712	600.791979	N
cfa-mir-153	24	8.422317	N
cfa-mir-155	541	189.853073	N
cfa-mir-15a	655	229.859081	N
cfa-mir-15b	205	71.940628	N
cfa-mir-16-1	3721	1305.810136	N
cfa-mir-16-2	3499	1227.903699	N
cfa-mir-17	1334	468.140479	Y
cfa-mir-181a-1	2170	761.517870	N
cfa-mir-181a-2	2187	767.483678	N
cfa-mir-181b-1	690	242.141627	N
cfa-mir-181b-2	745	261.442771	N
cfa-mir-181c	69	24.214163	N
cfa-mir-181d	99	34.742060	N
cfa-mir-182	156	54.745063	N
cfa-mir-183	43	15.089985	N
cfa-mir-1835	35	12.282546	N
cfa-mir-1836	35	12.282546	N
cfa-mir-1837-1	4	1.403720	N
cfa-mir-1837-2	8	2.807439	N
cfa-mir-1837-3	0	0.000000	N
cfa-mir-1838	6	2.105579	N
cfa-mir-1839	95	33.338340	N
cfa-mir-184	1	0.350930	N
cfa-mir-1840	0	0.000000	N
cfa-mir-1841	8	2.807439	N
cfa-mir-1842	23	8.071388	N
cfa-mir-1843	34	11.931616	N
cfa-mir-1844	1	0.350930	N
cfa-mir-185	416	145.986836	N
cfa-mir-186	9619	3375.594651	N
cfa-mir-187	0	0.000000	N
cfa-mir-188	22	7.720458	N
cfa-mir-18a	71	24.916022	N
cfa-mir-18b	1	0.350930	N
cfa-mir-190a	34	11.931616	N
cfa-mir-190b	24	8.422317	N
cfa-mir-191	6571	2305.960334	N
cfa-mir-192	85560	30025.561733	N
cfa-mir-193a	190	66.676680	N
cfa-mir-193b	1045	366.721739	N
cfa-mir-194	48872	17150.645781	N
cfa-mir-195	1061	372.336618	N
cfa-mir-196a-1	0	0.000000	N
cfa-mir-196a-2	0	0.000000	N
cfa-mir-196b	5	1.754649	N
cfa-mir-197	95	33.338340	N
cfa-mir-199-1	21622	7587.806169	N
cfa-mir-199-2	21715	7620.442649	N
cfa-mir-199-3	12930	4537.523530	N
cfa-mir-19a	247	86.679684	N
cfa-mir-19b-1	697	244.598136	N
cfa-mir-19b-2	713	250.213014	N
cfa-mir-200a	3493	1225.798120	N
cfa-mir-200b	1465	514.112295	N
cfa-mir-200c	17	5.965808	N
cfa-mir-202	0	0.000000	N
cfa-mir-203	420	147.390555	N
cfa-mir-204	175	61.412731	N
cfa-mir-205	0	0.000000	N
cfa-mir-206	6	2.105579	N
cfa-mir-207	0	0.000000	N
cfa-mir-208a	0	0.000000	N
cfa-mir-208b	0	0.000000	N
cfa-mir-20a	5562	1951.872071	N
cfa-mir-20b	12	4.211159	N
cfa-mir-21	197290	69234.958794	N
cfa-mir-210	32	11.229757	N
cfa-mir-211	0	0.000000	N
cfa-mir-2114	0	0.000000	N
cfa-mir-212	3	1.052790	N
cfa-mir-214	891	312.678536	N
cfa-mir-215	436	153.005434	N
cfa-mir-216a	0	0.000000	N
cfa-mir-216b	0	0.000000	N
cfa-mir-217	0	0.000000	N
cfa-mir-218-1	234	82.117595	N
cfa-mir-218-2	239	83.872245	N
cfa-mir-219-1	18	6.316738	N
cfa-mir-219-2	8	2.807439	N
cfa-mir-22	10843	3805.132841	N
cfa-mir-221	4606	1616.383092	N
cfa-mir-222	1385	486.037903	N
cfa-mir-223	115	40.356938	N
cfa-mir-224	9	3.158369	N
cfa-mir-2387	3	1.052790	N
cfa-mir-23a	1652	579.736185	N
cfa-mir-23b	1111	389.883112	N
cfa-mir-24-1	1459	512.006715	N
cfa-mir-24-2	1477	518.323453	N
cfa-mir-2483	3	1.052790	N
cfa-mir-25	1718	602.897558	N
cfa-mir-26a-1	42769	15008.920638	N
cfa-mir-26a-2	42859	15040.504328	N
cfa-mir-26b	51346	18018.846339	N
cfa-mir-27a	2484	871.709857	N
cfa-mir-27b	23167	8129.992855	N
cfa-mir-28	1854	650.624024	N
cfa-mir-299	2	0.701860	N
cfa-mir-29a	15885	5574.521367	N
cfa-mir-29b-1	2400	842.231746	N
cfa-mir-29b-2	2399	841.880816	N
cfa-mir-29c-1	234	82.117595	N
cfa-mir-29c-2	239	83.872245	N
cfa-mir-300	0	0.000000	N
cfa-mir-301a	15	5.263948	N
cfa-mir-301b	2	0.701860	N
cfa-mir-302a	1	0.350930	N
cfa-mir-302b	0	0.000000	N
cfa-mir-302c	0	0.000000	N
cfa-mir-302d	0	0.000000	N
cfa-mir-30a	60362	21182.830264	N
cfa-mir-30b	10338	3627.913245	N
