miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
cfa-mir-141	8	3.050210	N
cfa-mir-142	1508	574.964637	N
cfa-mir-143	30011	11442.482566	N
cfa-mir-144	150	57.191443	N
cfa-mir-145	3619	1379.838873	N
cfa-mir-1468	1	0.381276	N
cfa-mir-146a	3397	1295.195538	N
cfa-mir-146b	649	247.448308	N
cfa-mir-147	0	0.000000	N
cfa-mir-148a	574910	219199.548569	N
cfa-mir-148b	1521	579.921228	N
cfa-mir-149	16	6.100421	N
cfa-mir-150	61	23.257853	N
cfa-mir-151	4982	1899.518448	N
cfa-mir-152	660	251.642348	N
cfa-mir-153	50	19.063814	N
cfa-mir-155	441	168.142841	N
cfa-mir-15a	343	130.777765	N
cfa-mir-15b	79	30.120826	N
cfa-mir-16-1	1368	521.585957	N
cfa-mir-16-2	1355	516.629365	N
cfa-mir-17	546	208.176851	Y
cfa-mir-181a-1	2311	881.129493	N
cfa-mir-181a-2	2321	884.942256	N
cfa-mir-181b-1	686	261.555531	N
cfa-mir-181b-2	699	266.512123	N
cfa-mir-181c	25	9.531907	N
cfa-mir-181d	79	30.120826	N
cfa-mir-182	156	59.479100	N
cfa-mir-183	28	10.675736	N
cfa-mir-1835	14	5.337868	N
cfa-mir-1836	151	57.572719	N
cfa-mir-1837-1	12	4.575315	N
cfa-mir-1837-2	20	7.625526	N
cfa-mir-1837-3	0	0.000000	N
cfa-mir-1838	3	1.143829	N
cfa-mir-1839	101	38.508905	N
cfa-mir-184	0	0.000000	N
cfa-mir-1840	2	0.762553	N
cfa-mir-1841	1	0.381276	N
cfa-mir-1842	6	2.287658	N
cfa-mir-1843	25	9.531907	N
cfa-mir-1844	0	0.000000	N
cfa-mir-185	482	183.775169	N
cfa-mir-186	6049	2306.340243	N
cfa-mir-187	0	0.000000	N
cfa-mir-188	4	1.525105	N
cfa-mir-18a	52	19.826367	Y
cfa-mir-18b	2	0.762553	Y
cfa-mir-190a	9	3.431487	N
cfa-mir-190b	18	6.862973	N
cfa-mir-191	7487	2854.615540	N
cfa-mir-192	72669	27706.966299	N
cfa-mir-193a	251	95.700347	N
cfa-mir-193b	448	170.811775	N
cfa-mir-194	32604	12431.131971	N
cfa-mir-195	957	364.881404	N
cfa-mir-196a-1	0	0.000000	N
cfa-mir-196a-2	0	0.000000	N
cfa-mir-196b	1	0.381276	N
cfa-mir-197	33	12.582117	N
cfa-mir-199-1	11217	4276.776080	N
cfa-mir-199-2	11372	4335.873904	N
cfa-mir-199-3	7955	3033.052841	N
cfa-mir-19a	84	32.027208	N
cfa-mir-19b-1	178	67.867179	N
cfa-mir-19b-2	162	61.766758	N
cfa-mir-200a	1702	648.932236	N
cfa-mir-200b	1168	445.330700	N
cfa-mir-200c	44	16.776157	N
cfa-mir-202	0	0.000000	N
cfa-mir-203	582	221.902797	N
cfa-mir-204	145	55.285061	N
cfa-mir-205	0	0.000000	N
cfa-mir-206	1	0.381276	N
cfa-mir-207	0	0.000000	N
cfa-mir-208a	0	0.000000	N
cfa-mir-208b	1	0.381276	N
cfa-mir-20a	1676	639.019052	N
cfa-mir-20b	7	2.668934	N
cfa-mir-21	91922	35047.678599	N
cfa-mir-210	7	2.668934	N
cfa-mir-211	0	0.000000	N
cfa-mir-2114	0	0.000000	N
cfa-mir-212	0	0.000000	N
cfa-mir-214	415	158.229658	N
cfa-mir-215	258	98.369281	N
cfa-mir-216a	0	0.000000	N
cfa-mir-216b	0	0.000000	N
cfa-mir-217	0	0.000000	N
cfa-mir-218-1	360	137.259462	N
cfa-mir-218-2	347	132.302871	N
cfa-mir-219-1	8	3.050210	N
cfa-mir-219-2	4	1.525105	N
cfa-mir-22	20617	7860.773152	N
cfa-mir-221	4752	1811.824903	N
cfa-mir-222	2184	832.707405	N
cfa-mir-223	72	27.451892	N
cfa-mir-224	38	14.488499	N
cfa-mir-2387	7	2.668934	N
cfa-mir-23a	1048	399.577546	N
cfa-mir-23b	698	266.130846	N
cfa-mir-24-1	1787	681.340720	N
cfa-mir-24-2	1821	694.304114	N
cfa-mir-2483	17	6.481697	N
cfa-mir-25	1790	682.484549	N
cfa-mir-26a-1	36682	13985.976658	N
