Gene	8CB
cfa-mir-24.MIMAT0006614	941.685025
cfa-mir-2483.MIMAT0034421	39.960804
cfa-mir-25.MIMAT0006697	1150.176175
cfa-mir-26a.MIMAT0006595	33521.901995
cfa-mir-26b.MIMAT0006678	16173.700926
cfa-mir-27a.MIMAT0006641	658.484547
cfa-mir-27b.MIMAT0006613	6994.878067
cfa-mir-28.MIMAT0006675	663.696826
cfa-mir-299.MIMAT0009885	0.000000
cfa-mir-29a.MIMAT0006626	4798.771292
cfa-mir-29b.MIMAT0006625	1065.042289
cfa-mir-29c.MIMAT0006705	102.508149
cfa-mir-300.MIMAT0009929	0.000000
cfa-mir-301a.MIMAT0009853	0.000000
cfa-mir-301b.MIMAT0009854	0.000000
cfa-mir-302a.MIMAT0009855	0.000000
cfa-mir-302b.MIMAT0009856	0.000000
cfa-mir-302c.MIMAT0009857	0.000000
cfa-mir-302d.MIMAT0009858	0.000000
cfa-mir-30a.MIMAT0006604	7371.899563
cfa-mir-30b.MIMAT0006617	2380.273957
cfa-mir-30c.MIMAT0006605	7809.730977
cfa-mir-30d.MIMAT0006616	11248.097518
cfa-mir-30e.MIMAT0006627	569.875809
cfa-mir-31.MIMAT0006599	74.709329
cfa-mir-32.MIMAT0006597	236.289969
cfa-mir-320.MIMAT0006658	875.662828
cfa-mir-323.MIMAT0006718	0.000000
cfa-mir-324.MIMAT0009896	10.424557
cfa-mir-325.MIMAT0009897	1.737426
cfa-mir-326.MIMAT0009894	8.687131
cfa-mir-328.MIMAT0006688	12.161984
cfa-mir-329a.MIMAT0006719	0.000000
cfa-mir-329b.MIMAT0009899	0.000000
cfa-mir-330.MIMAT0009893	1.737426
cfa-mir-331.MIMAT0009895	41.698230
cfa-mir-335.MIMAT0006624	1.737426
cfa-mir-338.MIMAT0006739	17.374262
cfa-mir-339-1.MIMAT0011134	345.747823
cfa-mir-33a.MIMAT0006593	6.949705
cfa-mir-33b.MIMAT0009862	33.011099
cfa-mir-340.MIMAT0009892	533.389858
cfa-mir-342.MIMAT0006709	138.994100
cfa-mir-345.MIMAT0006710	1.737426
cfa-mir-346.MIMAT0009898	0.000000
cfa-mir-34a.MIMAT0006690	52.122787
cfa-mir-34b.MIMAT0009838	0.000000
cfa-mir-34c.MIMAT0006693	0.000000
cfa-mir-350.MIMAT0006704	13.899410
cfa-mir-361.MIMAT0006751	189.379461
cfa-mir-362.MIMAT0009886	178.954903
cfa-mir-363.MIMAT0006750	57.335066
cfa-mir-365.MIMAT0001540	1834.722116
cfa-mir-367.MIMAT0009859	0.000000
cfa-mir-369.MIMAT0006727	0.000000
cfa-mir-370.MIMAT0009889	0.000000
cfa-mir-371.MIMAT0007747	3.474852
cfa-mir-374a.MIMAT0006753	972.958698
cfa-mir-374b.MIMAT0006754	988.595534
cfa-mir-375.MIMAT0009871	3712.879888
cfa-mir-376a.MIMAT0006722	0.000000
cfa-mir-376b.MIMAT0009887	0.000000
cfa-mir-376c.MIMAT0009888	0.000000
cfa-mir-377.MIMAT0009890	0.000000
cfa-mir-378.MIMAT0006683	9338.666074
cfa-mir-379.MIMAT0006715	6.949705
cfa-mir-380.MIMAT0006717	0.000000
cfa-mir-381.MIMAT0009891	19.111689
cfa-mir-382.MIMAT0006724	0.000000
cfa-mir-383.MIMAT0006629	0.000000
cfa-mir-384.MIMAT0006752	0.000000
