Gene	8RP
cfa-mir-208b.MIMAT0009869	1.232143
cfa-mir-20a.MIMAT0006651	1434.830716
cfa-mir-20b.MIMAT0009830	12.937503
cfa-mir-21.MIMAT0006741	119015.788683
cfa-mir-210.MIMAT0009846	24.026792
cfa-mir-211.MIMAT0009867	9.241074
cfa-mir-2114.MIMAT0034427	0.000000
cfa-mir-212.MIMAT0006731	3.696429
cfa-mir-214.MIMAT0009847	988.794890
cfa-mir-215.MIMAT0009848	33.267865
cfa-mir-216a.MIMAT0009849	0.000000
cfa-mir-216b.MIMAT0006592	0.000000
cfa-mir-217.MIMAT0009850	0.000000
cfa-mir-218.MIMAT0006672	327.134010
cfa-mir-219-2.MIMAT0006729	3.080358
cfa-mir-219.MIMAT0006611	7.392859
cfa-mir-22.MIMAT0006733	7158.751790
cfa-mir-221.MIMAT0006757	5268.644174
cfa-mir-222.MIMAT0009851	3734.009862
cfa-mir-223.MIMAT0009852	101.651811
cfa-mir-224.MIMAT0006744	97.955382
cfa-mir-2387.MIMAT0034370	1.232143
cfa-mir-23a.MIMAT0006640	4638.402945
cfa-mir-23b.MIMAT0006612	1458.241436
cfa-mir-24.MIMAT0006614	5625.349621
cfa-mir-2483.MIMAT0034421	13.553575
cfa-mir-25.MIMAT0006697	2363.250591
cfa-mir-26a.MIMAT0006595	49395.387349
cfa-mir-26b.MIMAT0006678	22418.228819
cfa-mir-27a.MIMAT0006641	3872.009897
cfa-mir-27b.MIMAT0006613	16545.218422
cfa-mir-28.MIMAT0006675	1152.053859
cfa-mir-299.MIMAT0009885	1.848215
cfa-mir-29a.MIMAT0006626	10699.315175
cfa-mir-29b.MIMAT0006625	3355.741910
cfa-mir-29c.MIMAT0006705	484.848335
cfa-mir-300.MIMAT0009929	0.000000
cfa-mir-301a.MIMAT0009853	3.080358
cfa-mir-301b.MIMAT0009854	1.232143
cfa-mir-302a.MIMAT0009855	0.616072
cfa-mir-302b.MIMAT0009856	0.000000
cfa-mir-302c.MIMAT0009857	0.000000
cfa-mir-302d.MIMAT0009858	0.000000
cfa-mir-30a.MIMAT0006604	12712.021035
cfa-mir-30b.MIMAT0006617	3710.599142
cfa-mir-30c.MIMAT0006605	9134.493355
cfa-mir-30d.MIMAT0006616	14881.209077
cfa-mir-30e.MIMAT0006627	490.392980
cfa-mir-31.MIMAT0006599	489.776908
cfa-mir-32.MIMAT0006597	215.625054
cfa-mir-320.MIMAT0006658	1102.152061
cfa-mir-323.MIMAT0006718	4.312501
cfa-mir-324.MIMAT0009896	28.955364
cfa-mir-325.MIMAT0009897	0.000000
cfa-mir-326.MIMAT0009894	22.178577
cfa-mir-328.MIMAT0006688	35.116080
cfa-mir-329a.MIMAT0006719	0.000000
cfa-mir-329b.MIMAT0009899	1.848215
cfa-mir-330.MIMAT0009893	16.633933
cfa-mir-331.MIMAT0009895	72.696447
cfa-mir-335.MIMAT0006624	16.633933
cfa-mir-338.MIMAT0006739	33.267865
cfa-mir-339-1.MIMAT0011134	818.759133
cfa-mir-33a.MIMAT0006593	4.928573
cfa-mir-33b.MIMAT0009862	4.312501
cfa-mir-340.MIMAT0009892	1404.643208
cfa-mir-342.MIMAT0006709	458.357257
cfa-mir-345.MIMAT0006710	6.160716
cfa-mir-346.MIMAT0009898	0.000000
cfa-mir-34a.MIMAT0006690	349.928659
cfa-mir-34b.MIMAT0009838	0.000000
cfa-mir-34c.MIMAT0006693	2.464286
cfa-mir-350.MIMAT0006704	120.750030
cfa-mir-361.MIMAT0006751	359.785804
cfa-mir-362.MIMAT0009886	193.446477
cfa-mir-363.MIMAT0006750	167.571470
cfa-mir-365.MIMAT0001540	1611.027188
cfa-mir-367.MIMAT0009859	0.000000
cfa-mir-369.MIMAT0006727	0.000000
cfa-mir-370.MIMAT0009889	2.464286
cfa-mir-371.MIMAT0007747	18.482147
cfa-mir-374a.MIMAT0006753	1924.607624
cfa-mir-374b.MIMAT0006754	1051.018120
cfa-mir-375.MIMAT0009871	709.098392
cfa-mir-376a.MIMAT0006722	0.000000
cfa-mir-376b.MIMAT0009887	0.000000
cfa-mir-376c.MIMAT0009888	0.000000
cfa-mir-377.MIMAT0009890	0.000000
cfa-mir-378.MIMAT0006683	5850.215748
cfa-mir-379.MIMAT0006715	4.928573
cfa-mir-380.MIMAT0006717	7.392859
cfa-mir-381.MIMAT0009891	21.562505
cfa-mir-382.MIMAT0006724	4.928573
cfa-mir-383.MIMAT0006629	1.232143
cfa-mir-384.MIMAT0006752	0.000000
cfa-mir-3958.MIMAT0034388	4.928573
cfa-mir-409.MIMAT0006726	0.000000
cfa-mir-410.MIMAT0006728	2.464286
cfa-mir-411.MIMAT0006716	10.473217
cfa-mir-421.MIMAT0006755	16.017861
cfa-mir-423a.MIMAT0006742	1142.812786
cfa-mir-424.MIMAT0006745	17.866076
cfa-mir-425.MIMAT0006639	431.866179
cfa-mir-429.MIMAT0001539	248.892919
cfa-mir-432.MIMAT0009904	1.848215
cfa-mir-433.MIMAT0006712	4.312501
cfa-mir-448.MIMAT0001535	0.000000
cfa-mir-449a.MIMAT0001544	2.464286
cfa-mir-449b.MIMAT0034406	0.000000
cfa-mir-450a.MIMAT0001548	229.794700
cfa-mir-450b.MIMAT0006748	278.464355
cfa-mir-451.MIMAT0009870	10792.341984
cfa-mir-452.MIMAT0009900	158.946468
cfa-mir-454.MIMAT0009927	20.330362
cfa-mir-455.MIMAT0006603	957.375239
cfa-mir-483.MIMAT0009901	11.705360
cfa-mir-485.MIMAT0006725	0.616072
cfa-mir-486.MIMAT0011132	1681.259349
cfa-mir-486.MIMAT0032036	14.169646
cfa-mir-487a.MIMAT0009902	0.000000
cfa-mir-487b.MIMAT0006723	2.464286
cfa-mir-488.MIMAT0009903	0.616072
cfa-mir-489.MIMAT0009860	0.616072
cfa-mir-490.MIMAT0009875	4.312501
cfa-mir-491.MIMAT0006601	0.616072
cfa-mir-493.MIMAT0006711	0.000000
cfa-mir-494.MIMAT0009905	3.696429
cfa-mir-495.MIMAT0006721	0.616072
cfa-mir-496.MIMAT0009906	0.000000
cfa-mir-497.MIMAT0006691	481.151906
cfa-mir-499.MIMAT0006655	444.187611
cfa-mir-500.MIMAT0006759	358.553661
cfa-mir-502.MIMAT0006761	394.285813
cfa-mir-503.MIMAT0006746	25.258935
cfa-mir-504.MIMAT0009907	35.732152
cfa-mir-505.MIMAT0009908	28.955364
cfa-mir-506.MIMAT0034422	0.000000
cfa-mir-507a.MIMAT0034432	0.000000
cfa-mir-507b.MIMAT0034416	0.000000
cfa-mir-508a.MIMAT0034419	0.000000
cfa-mir-508b.MIMAT0034425	0.000000
cfa-mir-514.MIMAT0009877	0.000000
cfa-mir-532.MIMAT0006758	1243.848525
cfa-mir-539.MIMAT0009909	0.000000
cfa-mir-542.MIMAT0006747	53.598228
cfa-mir-543.MIMAT0006720	1.848215
cfa-mir-544.MIMAT0009910	0.000000
cfa-mir-545.MIMAT0009911	2.464286
cfa-mir-551a.MIMAT0009912	39.428581
cfa-mir-551b.MIMAT0009913	0.000000
cfa-mir-568.MIMAT0009914	0.000000
cfa-mir-574.MIMAT0006673	120.133959
cfa-mir-578.MIMAT0009915	0.000000
cfa-mir-582.MIMAT0009916	5.544644
cfa-mir-589.MIMAT0009917	0.000000
cfa-mir-590.MIMAT0006700	386.276882
cfa-mir-592.MIMAT0009918	6.160716
cfa-mir-599.MIMAT0009919	0.000000
cfa-mir-615.MIMAT0009920	0.616072
cfa-mir-628.MIMAT0009921	28.339293
cfa-mir-631.MIMAT0009922	0.000000
cfa-mir-632.MIMAT0009923	0.000000
cfa-mir-6516.MIMAT0034393	8.625002
cfa-mir-652.MIMAT0006743	189.133976
cfa-mir-6529.MIMAT0034278	7.392859
cfa-mir-653.MIMAT0009924	0.000000
cfa-mir-660.MIMAT0006760	247.044705
cfa-mir-664.MIMAT0006680	2.464286
cfa-mir-665.MIMAT0009934	0.000000
cfa-mir-671.MIMAT0009926	4.312501
cfa-mir-676.MIMAT0006762	2.464286
cfa-mir-7.MIMAT0006634	1582.071824
cfa-mir-708.MIMAT0006643	184.205403
cfa-mir-718.MIMAT0009939	0.000000
cfa-mir-7180.MIMAT0034382	9.857145
cfa-mir-758.MIMAT0009925	2.464286
cfa-mir-759.MIMAT0009938	0.000000
cfa-mir-761.MIMAT0009936	0.000000
cfa-mir-764.MIMAT0009937	0.000000
cfa-mir-769.MIMAT0034400	3.080358
cfa-mir-802.MIMAT0009928	153.401824
cfa-mir-872.MIMAT0009940	0.000000
cfa-mir-874.MIMAT0009930	69.000017
cfa-mir-875.MIMAT0009931	0.000000
cfa-mir-876.MIMAT0009932	0.000000
cfa-mir-8789.MIMAT0034279	0.000000
cfa-mir-8790.MIMAT0034280	0.000000
cfa-mir-8791a.MIMAT0034281	0.000000
cfa-mir-8791b.MIMAT0034430	0.000000
cfa-mir-8792.MIMAT0034282	0.000000
cfa-mir-8793.MIMAT0034283	0.000000
cfa-mir-8794.MIMAT0034284	0.000000
