miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
cfa-mir-1837-2	16	8.894641	N
cfa-mir-1837-3	0	0.000000	N
cfa-mir-1838	0	0.000000	N
cfa-mir-1839	17	9.450556	N
cfa-mir-184	0	0.000000	N
cfa-mir-1840	2	1.111830	N
cfa-mir-1841	1	0.555915	N
cfa-mir-1842	1	0.555915	N
cfa-mir-1843	25	13.897876	N
cfa-mir-1844	0	0.000000	N
cfa-mir-185	19	10.562386	N
cfa-mir-186	103	57.259250	N
cfa-mir-187	0	0.000000	N
cfa-mir-188	0	0.000000	N
cfa-mir-18a	2	1.111830	N
cfa-mir-18b	0	0.000000	N
cfa-mir-190a	0	0.000000	N
cfa-mir-190b	3	1.667745	N
cfa-mir-191	1078	599.276421	N
cfa-mir-192	4849	2695.632064	N
cfa-mir-193a	32	17.789282	N
cfa-mir-193b	19	10.562386	N
cfa-mir-194	1007	559.806453	N
cfa-mir-195	79	43.917289	N
cfa-mir-196a-1	0	0.000000	N
cfa-mir-196a-2	0	0.000000	N
cfa-mir-196b	0	0.000000	N
cfa-mir-197	4	2.223660	N
cfa-mir-199-1	297	165.106769	N
cfa-mir-199-2	303	168.442259	N
cfa-mir-199-3	241	133.975526	N
cfa-mir-19a	3	1.667745	N
cfa-mir-19b-1	1	0.555915	N
cfa-mir-19b-2	2	1.111830	N
cfa-mir-200a	94	52.256014	N
cfa-mir-200b	53	29.463498	N
cfa-mir-200c	6	3.335490	N
cfa-mir-202	0	0.000000	N
cfa-mir-203	20	11.118301	N
cfa-mir-204	17	9.450556	N
cfa-mir-205	0	0.000000	N
cfa-mir-206	1	0.555915	N
cfa-mir-207	0	0.000000	N
cfa-mir-208a	0	0.000000	N
cfa-mir-208b	0	0.000000	N
cfa-mir-20a	26	14.453791	N
cfa-mir-20b	1	0.555915	N
cfa-mir-21	2898	1611.041807	N
cfa-mir-210	0	0.000000	N
cfa-mir-211	0	0.000000	N
cfa-mir-2114	0	0.000000	N
cfa-mir-212	0	0.000000	N
cfa-mir-214	18	10.006471	N
cfa-mir-215	5	2.779575	N
cfa-mir-216a	0	0.000000	N
cfa-mir-216b	0	0.000000	N
cfa-mir-217	0	0.000000	N
cfa-mir-218-1	10	5.559150	N
cfa-mir-218-2	7	3.891405	N
cfa-mir-219-1	0	0.000000	N
cfa-mir-219-2	0	0.000000	N
cfa-mir-22	1193	663.206651	N
cfa-mir-221	212	117.853990	N
cfa-mir-222	178	98.952878	N
cfa-mir-223	2	1.111830	N
cfa-mir-224	1	0.555915	N
cfa-mir-2387	2	1.111830	N
cfa-mir-23a	126	70.045296	N
cfa-mir-23b	93	51.700099	N
cfa-mir-24-1	60	33.354903	N
cfa-mir-24-2	68	37.802223	N
