Gene	10_1KD
cfa-mir-8908e.MIMAT0034426	0.000000
cfa-mir-8908f.MIMAT0034418	0.000000
cfa-mir-9.MIMAT0006674	2.278147
cfa-mir-92a.MIMAT0006653	220.773182
cfa-mir-92b.MIMAT0006703	0.000000
cfa-mir-93.MIMAT0006696	32.308271
cfa-mir-95.MIMAT0009878	1.035521
cfa-mir-96.MIMAT0009861	4.142086
cfa-mir-98.MIMAT0006756	117.842346
cfa-mir-99a.MIMAT0006668	2747.238523
cfa-mir-99b.MIMAT0006607	42.456381
