Gene	18TD
cfa-mir-208b.MIMAT0009869	0.000000
cfa-mir-20a.MIMAT0006651	9.056131
cfa-mir-20b.MIMAT0009830	3.418701
cfa-mir-21.MIMAT0006741	16.907978
cfa-mir-210.MIMAT0009846	2.833739
cfa-mir-211.MIMAT0009867	0.000000
cfa-mir-2114.MIMAT0034427	0.000000
cfa-mir-212.MIMAT0006731	1.833739
cfa-mir-214.MIMAT0009847	8.010327
cfa-mir-215.MIMAT0009848	5.675041
cfa-mir-216a.MIMAT0009849	0.000000
cfa-mir-216b.MIMAT0006592	0.248776
cfa-mir-217.MIMAT0009850	0.000000
cfa-mir-218.MIMAT0006672	10.534178
cfa-mir-219-2.MIMAT0006729	0.000000
cfa-mir-219.MIMAT0006611	0.000000
cfa-mir-22.MIMAT0006733	12.573519
cfa-mir-221.MIMAT0006757	11.209502
cfa-mir-222.MIMAT0009851	10.925615
cfa-mir-223.MIMAT0009852	5.708208
cfa-mir-224.MIMAT0006744	6.641094
cfa-mir-2387.MIMAT0034370	1.248776
cfa-mir-23a.MIMAT0006640	10.179514
cfa-mir-23b.MIMAT0006612	9.078499
cfa-mir-24.MIMAT0006614	12.125293
cfa-mir-2483.MIMAT0034421	2.570704
cfa-mir-25.MIMAT0006697	10.797598
cfa-mir-26a.MIMAT0006595	15.230388
cfa-mir-26b.MIMAT0006678	13.585841
cfa-mir-27a.MIMAT0006641	10.981792
cfa-mir-27b.MIMAT0006613	13.099940
cfa-mir-28.MIMAT0006675	9.662404
cfa-mir-299.MIMAT0009885	0.000000
cfa-mir-29a.MIMAT0006626	11.721467
cfa-mir-29b.MIMAT0006625	8.712301
cfa-mir-29c.MIMAT0006705	5.293170
cfa-mir-300.MIMAT0009929	0.000000
cfa-mir-301a.MIMAT0009853	0.000000
cfa-mir-301b.MIMAT0009854	0.248776
cfa-mir-302a.MIMAT0009855	0.000000
cfa-mir-302b.MIMAT0009856	0.000000
cfa-mir-302c.MIMAT0009857	0.000000
cfa-mir-302d.MIMAT0009858	0.000000
cfa-mir-30a.MIMAT0006604	13.158482
cfa-mir-30b.MIMAT0006617	10.128359
cfa-mir-30c.MIMAT0006605	11.978397
cfa-mir-30d.MIMAT0006616	13.426040
cfa-mir-30e.MIMAT0006627	8.254401
cfa-mir-31.MIMAT0006599	7.226056
