miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
cfa-mir-183	17	3.977048	N
cfa-mir-1835	19	4.444936	N
cfa-mir-1836	66	15.440305	N
cfa-mir-1837-1	4	0.935776	N
cfa-mir-1837-2	5	1.169720	N
cfa-mir-1837-3	0	0.000000	N
cfa-mir-1838	5	1.169720	N
cfa-mir-1839	112	26.201729	N
cfa-mir-184	0	0.000000	N
cfa-mir-1840	0	0.000000	N
cfa-mir-1841	0	0.000000	N
cfa-mir-1842	14	3.275216	N
cfa-mir-1843	11	2.573384	N
cfa-mir-1844	3	0.701832	N
cfa-mir-185	483	112.994958	N
cfa-mir-186	6887	1611.172417	N
cfa-mir-187	0	0.000000	N
cfa-mir-188	3	0.701832	N
cfa-mir-18a	33	7.720152	N
cfa-mir-18b	0	0.000000	N
cfa-mir-190a	8	1.871552	N
cfa-mir-190b	9	2.105496	N
cfa-mir-191	8107	1896.584113	N
cfa-mir-192	91843	21486.119985	N
cfa-mir-193a	190	44.449362	N
cfa-mir-193b	726	169.843353	N
cfa-mir-194	31286	7319.172390	N
cfa-mir-195	734	171.714906	N
cfa-mir-196a-1	0	0.000000	N
cfa-mir-196a-2	0	0.000000	N
cfa-mir-196b	22	5.146768	N
cfa-mir-197	83	19.417353	N
cfa-mir-199-1	15311	3581.916783	N
cfa-mir-199-2	15392	3600.866248	N
cfa-mir-199-3	10521	2461.324961	N
cfa-mir-19a	100	23.394401	N
cfa-mir-19b-1	282	65.972212	N
cfa-mir-19b-2	263	61.527275	N
cfa-mir-200a	1156	270.439279	N
cfa-mir-200b	797	186.453378	N
cfa-mir-200c	9	2.105496	N
cfa-mir-202	0	0.000000	N
cfa-mir-203	846	197.916635	N
cfa-mir-204	104	24.330177	N
cfa-mir-205	0	0.000000	N
cfa-mir-206	0	0.000000	N
cfa-mir-207	0	0.000000	N
cfa-mir-208a	0	0.000000	N
cfa-mir-208b	0	0.000000	N
cfa-mir-20a	4505	1053.917779	N
cfa-mir-20b	12	2.807328	N
cfa-mir-21	161952	37887.700791	N
cfa-mir-210	23	5.380712	N
cfa-mir-211	0	0.000000	N
cfa-mir-2114	1	0.233944	N
cfa-mir-212	8	1.871552	N
cfa-mir-214	400	93.577605	N
cfa-mir-215	160	37.431042	N
cfa-mir-216a	0	0.000000	N
cfa-mir-216b	0	0.000000	N
cfa-mir-217	0	0.000000	N
cfa-mir-218-1	194	45.385139	N
cfa-mir-218-2	164	38.366818	N
cfa-mir-219-1	10	2.339440	N
cfa-mir-219-2	4	0.935776	N
cfa-mir-22	14308	3347.270938	N
cfa-mir-221	5850	1368.572476	N
cfa-mir-222	1704	398.640598	N
cfa-mir-223	85	19.885241	N
cfa-mir-224	8	1.871552	N
cfa-mir-2387	6	1.403664	N
cfa-mir-23a	1128	263.888847	N
cfa-mir-23b	814	190.430427	N
cfa-mir-24-1	1386	324.246402	N
cfa-mir-24-2	1450	339.218819	N
cfa-mir-2483	0	0.000000	N
cfa-mir-25	2207	516.314437	N
cfa-mir-26a-1	51924	12147.308930	N
cfa-mir-26a-2	51737	12103.561400	N
cfa-mir-26b	66504	15558.212640	N
cfa-mir-27a	1874	438.411080	N
cfa-mir-27b	29271	6847.775204	N
cfa-mir-28	2278	532.924462	N
cfa-mir-299	6	1.403664	N
cfa-mir-29a	10592	2477.934986	N
cfa-mir-29b-1	1487	347.874747	N
cfa-mir-29b-2	1439	336.645435	N
cfa-mir-29c-1	84	19.651297	N
cfa-mir-29c-2	92	21.522849	N
cfa-mir-300	0	0.000000	N
cfa-mir-301a	6	1.403664	N
cfa-mir-301b	0	0.000000	N
cfa-mir-302a	0	0.000000	N
cfa-mir-302b	0	0.000000	N
cfa-mir-302c	0	0.000000	N
cfa-mir-302d	0	0.000000	N
cfa-mir-30a	55051	12878.851859	N
cfa-mir-30b	4576	1070.527803	N
cfa-mir-30c-1	4657	1089.477268	N
