miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
cfa-mir-18a	30	51.490213	N
cfa-mir-18b	3	5.149021	N
cfa-mir-190a	3	5.149021	N
cfa-mir-190b	5	8.581702	N
cfa-mir-191	6808	11684.845572	N
cfa-mir-192	12161	20872.415835	N
cfa-mir-193a	703	1206.587315	N
cfa-mir-193b	1834	3147.768328	N
cfa-mir-194	5664	9721.352133	N
cfa-mir-195	350	600.719147	N
cfa-mir-196a-1	0	0.000000	N
cfa-mir-196a-2	0	0.000000	N
cfa-mir-196b	2	3.432681	N
cfa-mir-197	264	453.113871	N
cfa-mir-199-1	2992	5135.290534	N
cfa-mir-199-2	2960	5080.367640	N
cfa-mir-199-3	2021	3468.723987	N
cfa-mir-19a	14	24.028766	N
cfa-mir-19b-1	39	66.937276	N
cfa-mir-19b-2	31	53.206553	N
cfa-mir-200a	329	564.675998	N
cfa-mir-200b	469	804.963656	N
cfa-mir-200c	28	48.057532	N
cfa-mir-202	0	0.000000	N
cfa-mir-203	227	389.609275	N
cfa-mir-204	90	154.470638	N
cfa-mir-205	0	0.000000	N
cfa-mir-206	0	0.000000	N
cfa-mir-207	0	0.000000	N
cfa-mir-208a	0	0.000000	N
cfa-mir-208b	0	0.000000	N
cfa-mir-20a	343	588.704764	N
cfa-mir-20b	5	8.581702	N
cfa-mir-21	27532	47254.284415	N
cfa-mir-210	22	37.759489	N
cfa-mir-211	1	1.716340	N
cfa-mir-2114	0	0.000000	N
cfa-mir-212	2	3.432681	N
cfa-mir-214	460	789.516593	N
cfa-mir-215	17	29.177787	N
cfa-mir-216a	0	0.000000	N
cfa-mir-216b	0	0.000000	N
cfa-mir-217	0	0.000000	N
cfa-mir-218-1	53	90.966042	N
cfa-mir-218-2	56	96.115063	N
cfa-mir-219-1	3	5.149021	N
cfa-mir-219-2	1	1.716340	N
cfa-mir-22	2468	4235.928154	N
cfa-mir-221	2571	4412.711217	N
cfa-mir-222	2079	3568.271731	N
cfa-mir-223	36	61.788255	N
cfa-mir-224	45	77.235319	N
cfa-mir-2387	19	32.610468	N
cfa-mir-23a	713	1223.750719	N
cfa-mir-23b	420	720.862976	N
cfa-mir-24-1	500	858.170209	N
cfa-mir-24-2	503	863.319231	N
cfa-mir-2483	4	6.865362	N
cfa-mir-25	749	1285.538974	N
cfa-mir-26a-1	10220	17540.999082	N
cfa-mir-26a-2	10059	17264.668274	N
cfa-mir-26b	6425	11027.487192	N
cfa-mir-27a	769	1319.865782	N
cfa-mir-27b	9160	15721.678238	N
cfa-mir-28	1602	2749.577351	N
cfa-mir-299	2	3.432681	N
cfa-mir-29a	3352	5753.173084	N
cfa-mir-29b-1	173	296.926892	N
cfa-mir-29b-2	185	317.522978	N
cfa-mir-29c-1	39	66.937276	N
cfa-mir-29c-2	39	66.937276	N
cfa-mir-300	5	8.581702	N
cfa-mir-301a	1	1.716340	N
cfa-mir-301b	0	0.000000	N
cfa-mir-302a	2	3.432681	N
cfa-mir-302b	1	1.716340	N
cfa-mir-302c	0	0.000000	N
cfa-mir-302d	0	0.000000	N
cfa-mir-30a	5734	9841.495962	N
cfa-mir-30b	1817	3118.590541	N
cfa-mir-30c-1	2608	4476.215813	N
cfa-mir-30c-2	2593	4450.470706	N
cfa-mir-30d	15028	25793.163816	N
cfa-mir-30e	1836	3151.201009	N
cfa-mir-31	45	77.235319	N
cfa-mir-32	93	159.619659	N
cfa-mir-320	1486	2550.481863	N
cfa-mir-323	1	1.716340	N
cfa-mir-324	14	24.028766	N
cfa-mir-325	0	0.000000	N
cfa-mir-326	15	25.745106	N
cfa-mir-328	66	113.278468	N
cfa-mir-329a	0	0.000000	N
cfa-mir-329b	0	0.000000	N
cfa-mir-330	11	18.879745	N
cfa-mir-331	180	308.941275	N
cfa-mir-335	2	3.432681	N
cfa-mir-338	5	8.581702	N
cfa-mir-339-1	574	985.179400	N
cfa-mir-33a	9	15.447064	N
cfa-mir-33b	2	3.432681	N
cfa-mir-340	901	1546.422717	N
cfa-mir-342	270	463.411913	N
cfa-mir-345	1	1.716340	N
cfa-mir-346	0	0.000000	N
cfa-mir-34a	156	267.749105	N
cfa-mir-34b	2	3.432681	N
cfa-mir-34c	8	13.730723	N
cfa-mir-350	35	60.071915	N
cfa-mir-361	656	1125.919315	N
cfa-mir-362	46	78.951659	N
cfa-mir-363	79	135.590893	N
cfa-mir-365-1	1650	2831.961691	N
cfa-mir-365-2	1420	2437.203395	N
cfa-mir-367	0	0.000000	N
cfa-mir-369	0	0.000000	N
cfa-mir-370	4	6.865362	N
cfa-mir-371	5	8.581702	N
cfa-mir-374a	573	983.463060	N
cfa-mir-374b	352	604.151827	N
cfa-mir-375	1391	2387.429523	N
cfa-mir-376a-1	0	0.000000	N
cfa-mir-376a-2	0	0.000000	N
cfa-mir-376a-3	0	0.000000	N
cfa-mir-376b	0	0.000000	N
cfa-mir-376c	1	1.716340	N
cfa-mir-377	0	0.000000	N
cfa-mir-378	3445	5912.792743	N
cfa-mir-379	11	18.879745	N
cfa-mir-380	0	0.000000	N
cfa-mir-381	28	48.057532	N
cfa-mir-382	3	5.149021	N
cfa-mir-383	1	1.716340	N
cfa-mir-384	0	0.000000	N
cfa-mir-3958	0	0.000000	N
cfa-mir-409	0	0.000000	N
cfa-mir-410	0	0.000000	N
cfa-mir-411	11	18.879745	N
cfa-mir-421	3	5.149021	N
