miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
cfa-mir-1837-2	0	0.000000	N
cfa-mir-1837-3	0	0.000000	N
cfa-mir-1838	11	3.533430	N
cfa-mir-1839	98	31.479653	N
cfa-mir-184	0	0.000000	N
cfa-mir-1840	4	1.284884	N
cfa-mir-1841	1	0.321221	N
cfa-mir-1842	7	2.248547	N
cfa-mir-1843	40	12.848838	N
cfa-mir-1844	2	0.642442	N
cfa-mir-185	438	140.694775	N
cfa-mir-186	6555	2105.603314	N
cfa-mir-187	1	0.321221	N
cfa-mir-188	9	2.890989	N
cfa-mir-18a	59	18.952036	N
cfa-mir-18b	1	0.321221	N
cfa-mir-190a	16	5.139535	N
cfa-mir-190b	15	4.818314	N
cfa-mir-191	6538	2100.142558	N
cfa-mir-192	76479	24566.656880	N
cfa-mir-193a	279	89.620644	N
cfa-mir-193b	979	314.475308	N
cfa-mir-194	36868	11842.773910	N
cfa-mir-195	1172	376.470951	N
cfa-mir-196a-1	0	0.000000	N
cfa-mir-196a-2	0	0.000000	N
cfa-mir-196b	1	0.321221	N
cfa-mir-197	98	31.479653	N
cfa-mir-199-1	15253	4899.583119	N
cfa-mir-199-2	15328	4923.674691	N
cfa-mir-199-3	10551	3389.202222	N
cfa-mir-19a	62	19.915699	N
cfa-mir-19b-1	310	99.578494	N
cfa-mir-19b-2	263	84.481109	N
cfa-mir-200a	1554	499.177353	N
cfa-mir-200b	838	269.183154	N
cfa-mir-200c	30	9.636628	N
cfa-mir-202	0	0.000000	N
cfa-mir-203	784	251.837223	N
cfa-mir-204	224	71.953492	N
cfa-mir-205	0	0.000000	N
cfa-mir-206	0	0.000000	N
cfa-mir-207	0	0.000000	N
cfa-mir-208a	0	0.000000	N
cfa-mir-208b	0	0.000000	N
cfa-mir-20a	4407	1415.620718	N
cfa-mir-20b	25	8.030524	N
cfa-mir-21	154861	49744.597224	N
cfa-mir-210	10	3.212209	N
cfa-mir-211	0	0.000000	N
cfa-mir-2114	1	0.321221	N
cfa-mir-212	3	0.963663	N
cfa-mir-214	710	228.066873	N
cfa-mir-215	96	30.837211	N
cfa-mir-216a	0	0.000000	N
cfa-mir-216b	0	0.000000	N
cfa-mir-217	0	0.000000	N
cfa-mir-218-1	232	74.523260	N
cfa-mir-218-2	237	76.129365	N
cfa-mir-219-1	8	2.569768	N
cfa-mir-219-2	4	1.284884	N
cfa-mir-22	9783	3142.504534	N
cfa-mir-221	5114	1642.723928	N
cfa-mir-222	2589	831.641034	N
cfa-mir-223	114	36.619188	N
cfa-mir-224	6	1.927326	N
cfa-mir-2387	9	2.890989	N
cfa-mir-23a	1688	542.220960	N
cfa-mir-23b	1195	383.859033	N
cfa-mir-24-1	1167	374.864846	N
cfa-mir-24-2	1216	390.604673	N
cfa-mir-2483	5	1.606105	N
cfa-mir-25	1900	610.319801	N
cfa-mir-26a-1	41406	13300.474572	N
cfa-mir-26a-2	41841	13440.205684	N
cfa-mir-26b	45797	14710.955754	N
cfa-mir-27a	1491	478.940433	N
cfa-mir-27b	23007	7390.330350	N
cfa-mir-28	2279	732.062540	N
cfa-mir-299	7	2.248547	N
cfa-mir-29a	10908	3503.878101	N
cfa-mir-29b-1	2035	653.684629	N
cfa-mir-29b-2	2007	644.690443	N
cfa-mir-29c-1	137	44.007270	N
cfa-mir-29c-2	156	50.110468	N
cfa-mir-300	5	1.606105	N
cfa-mir-301a	7	2.248547	N
cfa-mir-301b	0	0.000000	N
cfa-mir-302a	1	0.321221	N
cfa-mir-302b	0	0.000000	N
cfa-mir-302c	0	0.000000	N
cfa-mir-302d	0	0.000000	N
cfa-mir-30a	48953	15724.729066	N
cfa-mir-30b	6281	2017.588774	N
cfa-mir-30c-1	6646	2134.834420	N
cfa-mir-30c-2	7170	2303.154197	N
cfa-mir-30d	26631	8554.435066	N
cfa-mir-30e	14293	4591.211009	N
cfa-mir-31	93	29.873548	N
cfa-mir-32	898	288.456411	N
cfa-mir-320	1339	430.114849	N
cfa-mir-323	1	0.321221	N
cfa-mir-324	24	7.709303	N
cfa-mir-325	0	0.000000	N
cfa-mir-326	11	3.533430	N
cfa-mir-328	27	8.672966	N
cfa-mir-329a	0	0.000000	N
cfa-mir-329b	0	0.000000	N
cfa-mir-330	14	4.497093	N
cfa-mir-331	132	42.401165	N
cfa-mir-335	10	3.212209	N
