taglen,crossmapped,scRNA,unannotated,Unknown,precursor,rRNA,rmsk_DNA,stemloop,rmsk_Other,star,tRNA,LINE,snRNA,No_CDS,mature,Coding_Exon,snoRNA,Intron,rmsk_RNA,p3_UTR,Satellite,srpRNA,LTR,p5_UTR,SINE,rmsk_Unknown,rmsk_Simple_repeat,rmsk_Low_complexity
24,0,0,0.0148694484437337,0.0259053672105673,0,0,0,0,0,0,0,0,0,0,0.133005748949417,0.0091222109695932,0,0.0079666493923458,0,0.00280024974803866,0,0,0,0.000745918055154404,0,0,0,0
25,0,0,0.000629750489187734,0.0300629432556902,0,0,0,0,0,0,0,0,0,0,0.0079972198044423,0.00867588295298442,0,0.00744083830428614,0,0.00238449214352637,0,0,0,0.00087431378595967,0,0,0,0
26,0,0,0.000538039252898258,0.0324107509047008,0,0,0,0,0,0,0,0,0,0,0.00197484862143338,0.00869422520024231,0,0.00810115920557037,0,0.00262905544029831,0,0,0,0.000727575807896509,0,0,0,0
27,0,0,6.11408241929839e-05,0.0686183469917859,0,0,0,0,0,0,0,0,0,0,0.000177308390159653,0.00896324482669144,0,0.0115189312779582,0,0.0026779680996527,0,0,0,0.00210324435223865,0,0,0,0
28,0,0,7.33689890315807e-05,0.119420257813736,0,0,0,0,0,0,0,0,0,0,3.0570412096492e-05,0.00919557995862478,0,0.0191859906317584,0,0.00393746907802816,0,0,0,0.00072146172547721,0,0,0,0
29,0,0,4.27985769350887e-05,0.151574217256826,6.11408241929839e-06,0,0,0,0,0,0,0,0,0,0.000103939401128073,0.00925060670039847,0,0.0154380581087284,0,0.00601014301817032,0,0,0,0.00116167565966669,0,0,0,0
30,0,0,1.83422472578952e-05,0.0607311806708909,0,0,0,6.11408241929839e-06,0,0,0,0,0,0,5.50267417736855e-05,0.00933008977184935,0,0.0116228706790862,0,0.00399249581980185,0,0,0,0.00207267394014215,0,0,0,0
31,0,0,4.27985769350887e-05,0.120912093924045,6.11408241929839e-06,0,0,0,0,0,0,0,0,0,0.000116167565966669,0.010675187904095,0,0.0162145465759793,0,0.0138606248445495,0,0,0,0.00179754023127373,0,0,0,0
32,0,0,4.27985769350887e-05,0.377397851413613,0,0,0,0,0,0,0,0,0,0,6.72549066122823e-05,0.0105039935963546,0,0.0216805362588321,0,0.0269019626449129,0,0,0,0.0381824447085185,0,0,0,0
33,0,0,2.44563296771936e-05,0.86472690472621,0,0,0,0,0,0,0,0,0,0,2.44563296771936e-05,0.0137322291137442,0,0.016862639312425,0,0.0537183281359557,0,0,0,0.0153952595317934,0,0,0,0
34,0,0,1.22281648385968e-05,0.535391855210702,0,0,0,0,0,0,0,0,0,0,7.33689890315807e-05,0.0166425323453302,0,0.0205372028464233,0,0.173273095762916,0,0,0,0.0210507857696444,0,0,0,0
35,0,0,2.44563296771936e-05,0.229308661135786,0,0,0,7.33689890315807e-05,0,0,0,0,0,0,0.000116167565966669,0.0131330490366529,0,0.0162328888232372,0,0.0596856725771909,0,0,0,0.00522142638608083,0,0,0,0
36,0,0,6.11408241929839e-06,0.10352975760598,0,0,0,6.11408241929839e-06,0,0,0,0,0,0,6.72549066122823e-05,0.0173211954938723,0,0.010614047079902,0,0.0126072379485933,0,0,0,0.00185868105546671,0,0,0,0
37,0,0,6.11408241929839e-06,0.132589991344905,1.83422472578952e-05,0,0,0,0,0,0,0,0,0,3.0570412096492e-05,0.0188374879338583,0,0.010962549777802,0,0.00292253139642463,0,0,0,0.00209713026981935,0,0,0,0
38,0,0,1.22281648385968e-05,0.0667229814418033,0,0,0,3.0570412096492e-05,0,0,0,0,0,0,5.50267417736855e-05,0.0162328888232372,0,0.0167831562409741,0,0.00280636383045796,0,0,0,0.00118613198934389,0,0,0,0
39,0,0,0,0.063580343078284,0,0,0,0,0,0,0,0,0,0,8.55971538701775e-05,0.0177063826862881,0,0.0179142614885443,0,0.00246397521497725,0,0,0,0.00118613198934389,0,0,0,0
40,0,0,1.22281648385968e-05,0.0477204132826239,0,0,0,0,0,0,0,0,0,0,3.0570412096492e-05,0.0179448319006408,0,0.0191798765493391,0,0.00254957236884743,0,0,0,0.000941568692571952,0,0,0,0
41,0,0,0,0.049689147821638,0,0,0,0,0,0,0,0,0,0,6.72549066122823e-05,0.0177063826862881,0,0.026308896650241,0,0.00245786113255795,0,0,0,0.000727575807896509,0,0,0,0
42,0,0,0,0.0609146031434699,0,0,0,0,0,0,0,0,0,0,2.44563296771936e-05,0.018440072576604,0,0.0185868105546671,0,0.00283082016013516,0,0,0,0.000862085621121073,0,0,0,0
43,0,0,1.22281648385968e-05,0.0939612186197777,0,0,0,0,0,0,0,0,0,0,1.22281648385968e-05,0.0197484862143338,0,0.0160678085979162,0,0.00271465259416849,0,0,0,0.000941568692571952,0,0,0,0
44,0,0,1.83422472578952e-05,0.110823857932203,0,0,0,6.11408241929839e-06,0,0,0,0,0,0,7.94830714508791e-05,0.0194550102582075,0,0.0119713733769863,0,0.00291641731400533,0,0,0,0.000978253187087743,0,0,0,0
