taglen,crossmapped,rmsk_Low_complexity,No_CDS,star,snoRNA,tRNA,mature,Unknown,p3_UTR,srpRNA,SINE,rmsk_Other,p5_UTR,snRNA,unannotated,rmsk_Unknown,stemloop,Intron,precursor,Coding_Exon,rRNA,LTR,rmsk_Simple_repeat,scRNA,rmsk_RNA,rmsk_DNA,Satellite,LINE
39,0,0,0,0,0,0,2.30280686496992e-05,0.0580603405140773,0.0029015366498621,0,0,0,0.0019738344556885,0,0,0,9.86917227844251e-06,0.0616362706029663,0,0.0157610681286727,0,0,0,0,0,0,0,0
40,0,0,0,0,0,0,1.9738344556885e-05,0.0759663087512648,0.00268441485973636,0,0,0,0.000746767369068817,0,6.57944818562834e-06,0,3.28972409281417e-06,0.0682551954777084,0,0.0131983730603705,0,0,0,0,0,0,0,0
41,0,0,0,0,0,0,1.64486204640709e-05,0.0551917011051433,0.00284890106437707,0,0,0,0.000384897718859258,0,6.57944818562834e-06,0,0,0.0482306449247486,0,0.0144780757324752,0,0,0,0,0,0,0,0
42,0,0,0,0,0,0,1.64486204640709e-05,0.0668340346696127,0.00278310658252079,0,0,0,0.000371738822488001,0,1.64486204640709e-05,0,0,0.0264197741893906,0,0.0119088012159873,0,0,0,0,0,0,0,0
43,0,0,0,0,0,0,1.31588963712567e-05,0.0624225146611489,0.00251005948281721,0,0,0,0.000493458613922125,0,6.57944818562834e-06,0,3.28972409281417e-06,0.0343381400807943,0,0.0127082041705411,0,0,0,0,0,0,0,0
44,0,0,0,0,0,0,4.27664132065842e-05,0.0795323696678754,0.00269757375610762,0,0,0,0.000539514751221524,0,0,0,3.28972409281417e-06,0.0151853664124302,0,0.0127904472728615,0,0,0,0,0,0,0,0
45,0,0,0,0,0,0,0.000421084683880214,0.142774025628135,0.00257914368876631,0,0,0,0.000503327786200568,0,6.57944818562834e-06,0,3.28972409281417e-06,0.0337130925031596,0,0.0146919077985081,0,0,0,0,0,0,0,0
46,0,0,0,0,0,0,0.000105271170970053,0.184083091061603,0.00276007851387109,0,0,0,0.000789533782275401,0,9.86917227844251e-06,0,0,0.084920937731905,3.28972409281417e-06,0.0199028307615257,0,0,0,0,0,0,0,0
47,0,0,0,0,0,0,2.30280686496992e-05,4.49234194997606,0.00635574694731698,0,0,0,0.00165802094277834,0,6.57944818562834e-06,0,3.28972409281417e-06,3.67639826268355,0,0.0404636063416143,0,0,0,0,0,0,0,0
48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,0,0,0,0,0,0,0.00069413178358379,44.9655279681486,0.0483589441643683,0,0,0,0.0116818102535831,0,4.27664132065842e-05,0,0,26.4039933829174,2.30280686496992e-05,0.284176236309566,0,0,0,0,0,0,0,0
