Gene	3RY
cfa-mir-8904b.MIMAT0034424	0.000000
cfa-mir-8905.MIMAT0034436	0.000000
cfa-mir-8906.MIMAT0034434	0.000000
cfa-mir-8907.MIMAT0034435	0.000000
cfa-mir-8908a.MIMAT0034428	0.000000
cfa-mir-8908a.MIMAT0034429	0.000000
cfa-mir-8908b.MIMAT0034415	0.000000
cfa-mir-8908c.MIMAT0034433	0.000000
cfa-mir-8908d.MIMAT0034420	0.000000
cfa-mir-8908e.MIMAT0034426	0.000000
cfa-mir-8908f.MIMAT0034418	0.000000
cfa-mir-9.MIMAT0006674	2.468305
cfa-mir-92a.MIMAT0006653	9.167754
cfa-mir-92b.MIMAT0006703	0.000000
cfa-mir-93.MIMAT0006696	7.350948
cfa-mir-95.MIMAT0009878	3.748413
cfa-mir-96.MIMAT0009861	0.982879
cfa-mir-98.MIMAT0006756	9.945196
cfa-mir-99a.MIMAT0006668	13.733753
cfa-mir-99b.MIMAT0006607	6.649635
