taglen,crossmapped,snRNA,p5_UTR,mature,precursor,unannotated,rRNA,LINE,scRNA,rmsk_Unknown,p3_UTR,No_CDS,tRNA,SINE,Satellite,Unknown,rmsk_DNA,Coding_Exon,LTR,star,rmsk_Low_complexity,snoRNA,stemloop,rmsk_Other,Intron,rmsk_Simple_repeat,rmsk_RNA,srpRNA
24,4.00772529127145e-06,0,0.000721390552428862,0.0393318160085381,4.00772529127145e-06,0.0046609845137487,0,0,0,0,0.00189966178806267,0,0,0,0,0.0181670187453335,0,0.00877291066259321,0,0,0,0,0,0,0.0042682274352041,0,0,0
25,0,0,0.000785514157089205,0.0025970059887439,1.20231758738144e-05,0.000340656649758074,0,0,0,0,0.00244471242767559,0,0,0,0,0.0206157388983004,0,0.0102397381191986,0,0,0,0,0,0,0.00531023601093468,0,0,0
26,0,0,0.00135060342315848,0.000905745915827349,4.00772529127145e-06,0.000308594847427902,0,0,0,0,0.00288556220971545,0,0,0,0,0.0253809242696221,0,0.0116704960481825,0,0,0,0,0,0,0.00673297848933604,0,0,0
27,0,0,0.00171530642466418,0.000196378539272301,0,6.41236046603433e-05,0,0,0,0,0.00347469782753235,0,0,0,0,0.0675061248061764,0,0.0140951698494017,0,0,0,0,0,0,0.0105683715930828,0,0,0
28,0,0,0.00133858024728467,0.000100193132281786,0,4.4084978203986e-05,0,0,0,0,0.00544249094554664,0,0,0,0,0.062023556607717,0,0.0164156427930479,0,0,0,0,0,0,0.0200626728081049,0,0,0
29,0,0,0.00329435018942514,0.000136262659903229,4.00772529127145e-06,4.80927034952575e-05,0,0,0,0,0.0107647501323551,0,0,0,0,0.0727001367836642,0,0.0168845466521266,0,0,0,0,0,0,0.0181870573717899,0,0,0
30,0,0,0.0037071458944261,8.41622311167006e-05,4.00772529127145e-06,6.01158793690718e-05,0,0,0,0,0.0130932385265838,0,0,0,0,0.0760906723800798,0,0.0209323491963108,0,0,0,0,0,0,0.0172051646754284,0,0,0
31,0,0,0.00195977766743174,0.000148285835777044,0,3.20618023301716e-05,0,0,0,0,0.0815131246991701,0,0,0,0,0.346307542418766,0,0.0244391088261733,0,0,0,0,0,0,0.0242707843639399,0,0,0
32,0,0,0.00635625231195653,7.21390552428862e-05,8.01545058254291e-06,2.80540770389002e-05,0,0,0,0,0.0243830006720955,0,0,0,0,0.270773943854173,0,0.0272605474312284,0,0,0,0,8.01545058254291e-06,0,0.0196458693778127,0,0,0
33,0,0,0.00416402657763104,3.20618023301716e-05,0,3.20618023301716e-05,0,0,0,0,0.0399409902528113,0,0,0,0,0.214958353722636,0,0.0413316709288825,0,0,0,0,0,0,0.0308795233692466,0,0,0
34,0,0,0.00629212870729618,4.4084978203986e-05,4.00772529127145e-06,4.4084978203986e-05,0,0,0,0,0.0337891319307096,0,0,0,0,0.240904367258327,0,0.0436080588943247,0,0,0,0,4.00772529127145e-06,0,0.0408106666410172,0,0,0
35,0,0,0.00652056904889866,0.000256494418641373,0,8.01545058254291e-06,0,0,0,0,0.0134579415280895,0,0,0,0,0.188375111865632,0,0.0415440803693199,0,0,0,0,6.81313299516147e-05,0,0.0393358237338293,0,0,0
36,0,0,0.00739024543710456,0.000292563946262816,4.00772529127145e-06,1.20231758738144e-05,0,0,0,0,0.0156902445153277,0,0,0,0,0.184191046661545,0,0.0543567781255147,0,0,0,0,2.40463517476287e-05,0,0.0297012521336128,0,0,0
37,0,0,0.00632819823491763,5.21004287865289e-05,4.00772529127145e-06,8.01545058254291e-06,0,0,0,0,0.0147283904454226,0,0,0,0,0.225867381965477,0,0.0567614133002776,0,0,0,0,3.20618023301716e-05,0,0.0326389147721147,0,0,0
38,0,0,0.00736219136006566,3.60695276214431e-05,1.20231758738144e-05,2.00386264563573e-05,0,0,0,0,0.0122957011936208,0,0,0,0,0.181233345396586,0,0.0527937652619189,0,0,0,0,2.00386264563573e-05,0,0.0388669198747506,0,0,0
39,0,0,0.00449666777680657,5.61081540778004e-05,8.01545058254291e-06,1.60309011650858e-05,0,0,0,0,0.0129810222184282,0,0,0,0,0.155275308685021,0,0.0528458656907054,0,0,0,0,2.00386264563573e-05,0,0.0519000425219653,0,0,0
40,0,0,0.00272525319806459,4.4084978203986e-05,4.00772529127145e-06,4.00772529127145e-06,0,0,0,0,0.012652388744544,0,0,0,0,0.113999745910217,0,0.0542966622461457,0,0,0,0,4.00772529127145e-06,0,0.0569177145866372,0,0,0
41,0,0,0.00265712186811297,7.21390552428862e-05,1.20231758738144e-05,2.00386264563573e-05,0,0,0,0,0.0127525818768258,0,0,0,0,0.121333883193243,0,0.0565650347610053,0,0,0,0,8.01545058254291e-06,0,0.0792687985360581,0,0,0
42,0,0,0.00288956993500672,3.20618023301716e-05,8.01545058254291e-06,2.40463517476287e-05,0,0,0,0,0.0129569758666806,0,0,0,0,0.132511429030599,0,0.0555230261852747,0,0,0,0,4.00772529127145e-06,0,0.0543888399278449,0,0,0
43,0,0,0.00304186349607503,2.00386264563573e-05,4.00772529127145e-06,3.20618023301716e-05,0,0,0,0,0.0134138565498856,0,0,0,0,0.156730112965753,0,0.0581120167234361,0,0,0,0,2.00386264563573e-05,0,0.0473071893381682,0,0,0
44,0,0,0.00295770126495833,0.000132254934611958,1.20231758738144e-05,1.60309011650858e-05,0,0,0,0,0.0144117801474122,0,0,0,0,0.206754540051403,0,0.0600958407426155,0,0,0,0,0,0,0.0460006708932138,0,0,0
45,0,0,0.00319415705714335,0.00210806350320879,8.01545058254291e-06,1.20231758738144e-05,0,0,0,0,0.014748429071879,0,0,0,0,0.156068838292693,0,0.0714296878663311,0,0,0,0,0,0,0.094325822455365,0,0,0
46,0,0,0.00478121627248685,0.00044084978203986,1.60309011650858e-05,2.00386264563573e-05,0,0,0,0,0.0196298384766476,0,0,0,0,0.491246927577599,0,0.0953277537781828,0,0,0,0,1.20231758738144e-05,0,0.328148539124015,0,0,0
47,0,0,0.00998324370055719,0.000260502143932645,3.60695276214431e-05,3.60695276214431e-05,0,0,0,0,0.04248990353806,0,0,0,0,8.10406539645821,0,0.221482930496826,0,0,0,0,1.20231758738144e-05,0,2.51387374302706,0,0,0
48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,0,0,0.102689945138248,0.00696542655622979,0.000156301286359587,0.000352679825631888,0,0,0,0,0.437290921981211,0,0,0,0,44.9824441593616,0,1.54004458995159,0,0,0,0,4.4084978203986e-05,0,33.1305544567709,0,0,0
