miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
cfa-mir-20a	495	190.723296	N
cfa-mir-20b	3	1.155899	N
cfa-mir-21	51728	19930.777076	N
cfa-mir-210	8	3.082397	N
cfa-mir-211	0	0.000000	N
cfa-mir-2114	0	0.000000	N
cfa-mir-212	1	0.385300	N
cfa-mir-214	253	97.480796	N
cfa-mir-215	52	20.035579	N
cfa-mir-216a	0	0.000000	N
cfa-mir-216b	0	0.000000	N
cfa-mir-217	0	0.000000	N
cfa-mir-218-1	155	59.721436	N
cfa-mir-218-2	150	57.794938	N
cfa-mir-219-1	5	1.926498	N
cfa-mir-219-2	2	0.770599	N
cfa-mir-22	23695	9129.673732	N
cfa-mir-221	3129	1205.602410	N
cfa-mir-222	2234	860.759279	N
cfa-mir-223	37	14.256085	N
cfa-mir-224	33	12.714886	N
cfa-mir-2387	11	4.238295	N
cfa-mir-23a	417	160.669928	N
cfa-mir-23b	304	117.131075	N
cfa-mir-24-1	1604	618.020539	N
cfa-mir-24-2	1638	631.120725	N
cfa-mir-2483	18	6.935393	N
cfa-mir-25	1787	688.530363	N
cfa-mir-26a-1	40407	15568.800443	N
cfa-mir-26a-2	40306	15529.885185	N
cfa-mir-26b	31700	12213.996932	N
cfa-mir-27a	1979	762.507884	Y
cfa-mir-27b	9305	3585.212664	Y
cfa-mir-28	1320	508.595456	N
cfa-mir-299	1	0.385300	N
cfa-mir-29a	7163	2759.900947	N
cfa-mir-29b-1	1652	636.514919	N
cfa-mir-29b-2	1632	628.808927	N
cfa-mir-29c-1	85	32.750465	N
cfa-mir-29c-2	80	30.823967	N
cfa-mir-300	1	0.385300	N
cfa-mir-301a	4	1.541198	N
cfa-mir-301b	0	0.000000	N
cfa-mir-302a	0	0.000000	N
cfa-mir-302b	0	0.000000	N
cfa-mir-302c	0	0.000000	N
cfa-mir-302d	0	0.000000	N
cfa-mir-30a	13119	5054.745292	N
cfa-mir-30b	793	305.542573	N
cfa-mir-30c-1	2039	785.625859	N
cfa-mir-30c-2	2179	839.567802	N
cfa-mir-30d	14226	5481.271936	N
cfa-mir-30e	5888	2268.643973	N
cfa-mir-31	26	10.017789	N
cfa-mir-32	687	264.700817	N
cfa-mir-320	1131	435.773834	N
cfa-mir-323	1	0.385300	N
cfa-mir-324	2	0.770599	N
cfa-mir-325	0	0.000000	N
cfa-mir-326	9	3.467696	N
cfa-mir-328	18	6.935393	N
